Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-50000	-49500	-49750	21000	30338971	630	3.00	2399820	7.91	0.3793	
-49950	-49450	-49700	21000	30338971	580	2.76	2399870	7.91	0.3492	
-49900	-49400	-49650	21000	30338971	530	2.52	2399920	7.91	0.3191	
-49850	-49350	-49600	21000	30338971	500	2.38	2399950	7.91	0.3010	
-49800	-49300	-49550	21000	30338971	500	2.38	2399950	7.91	0.3010	
-49750	-49250	-49500	21000	30338971	500	2.38	2399950	7.91	0.3010	
-49700	-49200	-49450	21000	30338971	500	2.38	2399950	7.91	0.3010	
-49650	-49150	-49400	21000	30338971	500	2.38	2399950	7.91	0.3010	
-49600	-49100	-49350	21000	30338971	500	2.38	2399950	7.91	0.3010	
-49550	-49050	-49300	21000	30338971	501	2.39	2399949	7.91	0.3016	
-49500	-49000	-49250	21000	30338971	551	2.62	2399899	7.91	0.3317	
-49450	-48950	-49200	21000	30338971	601	2.86	2399849	7.91	0.3618	
-49400	-48900	-49150	21000	30338971	651	3.10	2399799	7.91	0.3919	
-49350	-48850	-49100	21000	30338971	701	3.34	2399749	7.91	0.4220	
-49300	-48800	-49050	21000	30338971	751	3.58	2399699	7.91	0.4521	
-49250	-48750	-49000	21000	30338971	801	3.81	2399649	7.91	0.4822	
-49200	-48700	-48950	21000	30338971	851	4.05	2399599	7.91	0.5124	
-49150	-48650	-48900	21000	30338971	901	4.29	2399549	7.91	0.5425	
-49100	-48600	-48850	21000	30338971	951	4.53	2399499	7.91	0.5726	
-49050	-48550	-48800	21000	30338971	1000	4.76	2399450	7.91	0.6021	
-49000	-48500	-48750	21000	30338971	1000	4.76	2399450	7.91	0.6021	
-48950	-48450	-48700	21000	30338971	1000	4.76	2399450	7.91	0.6021	
-48900	-48400	-48650	21000	30338971	1000	4.76	2399450	7.91	0.6021	
-48850	-48350	-48600	21000	30338971	1000	4.76	2399450	7.91	0.6021	
-48800	-48300	-48550	21000	30338971	951	4.53	2399499	7.91	0.5726	
-48750	-48250	-48500	21000	30338971	901	4.29	2399549	7.91	0.5425	
-48700	-48200	-48450	21000	30338971	851	4.05	2399599	7.91	0.5124	
-48650	-48150	-48400	21000	30338971	801	3.81	2399649	7.91	0.4822	
-48600	-48100	-48350	21000	30338971	751	3.58	2399699	7.91	0.4521	
-48550	-48050	-48300	21000	30338971	701	3.34	2399749	7.91	0.4220	
-48500	-48000	-48250	21000	30338971	651	3.10	2399799	7.91	0.3919	
-48450	-47950	-48200	21000	30338971	601	2.86	2399849	7.91	0.3618	
