Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-34400	-32400	-33400	86384	30275087	5278	6.11	1898644	6.27	0.9743	
-34200	-32200	-33200	86384	30275087	4946	5.73	1898976	6.27	0.9128	
-34000	-32000	-33000	86384	30275087	4495	5.20	1899427	6.27	0.8294	
-33800	-31800	-32800	86384	30275087	4300	4.98	1899622	6.27	0.7933	
-33600	-31600	-32600	86384	30275087	4186	4.85	1899736	6.27	0.7723	
-33400	-31400	-32400	86384	30275087	4282	4.96	1899640	6.27	0.7900	
-33200	-31200	-32200	86384	30275087	4433	5.13	1899489	6.27	0.8179	
-33000	-31000	-32000	86384	30275087	4566	5.29	1899356	6.27	0.8425	
-32800	-30800	-31800	86384	30275087	4556	5.27	1899366	6.27	0.8407	
-32600	-30600	-31600	86384	30275087	4681	5.42	1899241	6.27	0.8638	
-32400	-30400	-31400	86384	30275087	4734	5.48	1899188	6.27	0.8736	
-32200	-30200	-31200	86384	30275087	4719	5.46	1899203	6.27	0.8708	
-32000	-30000	-31000	86384	30275087	4622	5.35	1899300	6.27	0.8529	
-31800	-29800	-30800	86384	30275087	4545	5.26	1899377	6.27	0.8386	
-31600	-29600	-30600	86384	30275087	4613	5.34	1899309	6.27	0.8512	
-31400	-29400	-30400	86384	30275087	4474	5.18	1899448	6.27	0.8255	
-31200	-29200	-30200	86384	30275087	4168	4.82	1899754	6.27	0.7689	
-31000	-29000	-30000	86384	30275087	3859	4.47	1900063	6.28	0.7118	
-30800	-28800	-29800	86384	30275087	3916	4.53	1900006	6.28	0.7223	
-30600	-28600	-29600	86384	30275087	3876	4.49	1900046	6.28	0.7149	
-30400	-28400	-29400	86384	30275087	4016	4.65	1899906	6.28	0.7408	
-30200	-28200	-29200	86384	30275087	4144	4.80	1899778	6.28	0.7645	
-30000	-28000	-29000	86384	30275087	4233	4.90	1899689	6.27	0.7809	
-29800	-27800	-28800	86384	30275087	4300	4.98	1899622	6.27	0.7933	
-29600	-27600	-28600	86384	30275087	4181	4.84	1899741	6.27	0.7713	
-29400	-27400	-28400	86384	30275087	4147	4.80	1899775	6.28	0.7650	
-29200	-27200	-28200	86384	30275087	4201	4.86	1899721	6.27	0.7750	
-29000	-27000	-28000	86384	30275087	4332	5.01	1899590	6.27	0.7992	
-28800	-26800	-27800	86384	30275087	4482	5.19	1899440	6.27	0.8270	
-28600	-26600	-27600	86384	30275087	4437	5.14	1899485	6.27	0.8187	
-28400	-26400	-27400	86384	30275087	4172	4.83	1899750	6.27	0.7697	
-28200	-26200	-27200	86384	30275087	3911	4.53	1900011	6.28	0.7214	
-28000	-26000	-27000	86384	30275087	4061	4.70	1899861	6.28	0.7491	
-27800	-25800	-26800	86384	30275087	3983	4.61	1899939	6.28	0.7347	
-27600	-25600	-26600	86384	30275087	4233	4.90	1899689	6.27	0.7809	
-27400	-25400	-26400	86384	30275087	4363	5.05	1899559	6.27	0.8050	
-27200	-25200	-26200	86384	30275087	4474	5.18	1899448	6.27	0.8255	
-27000	-25000	-26000	86384	30275087	4421	5.12	1899501	6.27	0.8157	
-26800	-24800	-25800	86384	30275087	4186	4.85	1899736	6.27	0.7723	
-26600	-24600	-25600	86384	30275087	4135	4.79	1899787	6.28	0.7628	
-26400	-24400	-25400	86384	30275087	4321	5.00	1899601	6.27	0.7972	
-26200	-24200	-25200	86384	30275087	4384	5.08	1899538	6.27	0.8089	
-26000	-24000	-25000	86384	30275087	4367	5.06	1899555	6.27	0.8057	
-25800	-23800	-24800	86384	30275087	4361	5.05	1899561	6.27	0.8046	
-25600	-23600	-24600	86384	30275087	4037	4.67	1899885	6.28	0.7447	
-25400	-23400	-24400	86384	30275087	4078	4.72	1899844	6.28	0.7523	
-25200	-23200	-24200	86384	30275087	4290	4.97	1899632	6.27	0.7915	
-25000	-23000	-24000	86384	30275087	4868	5.64	1899054	6.27	0.8984	
-24800	-22800	-23800	86384	30275087	5122	5.93	1898800	6.27	0.9454	
-24600	-22600	-23600	86384	30275087	5389	6.24	1898533	6.27	0.9948	
-24400	-22400	-23400	86384	30275087	5496	6.36	1898426	6.27	1.0146	
-24200	-22200	-23200	86384	30275087	5581	6.46	1898341	6.27	1.0304	
-24000	-22000	-23000	86384	30275087	5433	6.29	1898489	6.27	1.0030	
-23800	-21800	-22800	86384	30275087	5365	6.21	1898557	6.27	0.9904	
-23600	-21600	-22600	86384	30275087	5335	6.18	1898587	6.27	0.9848	
-23400	-21400	-22400	86384	30275087	5249	6.08	1898673	6.27	0.9689	
