Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-50000	-49500	-49750	21000	30338971	1978	9.42	3118172	10.28	0.9164	
-49950	-49450	-49700	21000	30338971	2227	10.60	3117923	10.28	1.0319	
-49900	-49400	-49650	21000	30338971	2534	12.07	3117616	10.28	1.1743	
-49850	-49350	-49600	21000	30338971	2835	13.50	3117315	10.27	1.3139	
-49800	-49300	-49550	21000	30338971	3133	14.92	3117017	10.27	1.4521	
-49750	-49250	-49500	21000	30338971	3382	16.10	3116768	10.27	1.5677	
-49700	-49200	-49450	21000	30338971	3533	16.82	3116617	10.27	1.6377	
-49650	-49150	-49400	21000	30338971	3683	17.54	3116467	10.27	1.7073	
-49600	-49100	-49350	21000	30338971	3821	18.20	3116329	10.27	1.7714	
-49550	-49050	-49300	21000	30338971	3921	18.67	3116229	10.27	1.8178	
-49500	-49000	-49250	21000	30338971	4020	19.14	3116130	10.27	1.8638	
-49450	-48950	-49200	21000	30338971	4021	19.15	3116129	10.27	1.8642	
-49400	-48900	-49150	21000	30338971	4028	19.18	3116122	10.27	1.8675	
-49350	-48850	-49100	21000	30338971	4016	19.12	3116134	10.27	1.8619	
-49300	-48800	-49050	21000	30338971	4029	19.19	3116121	10.27	1.8679	
-49250	-48750	-49000	21000	30338971	4067	19.37	3116083	10.27	1.8856	
-49200	-48700	-48950	21000	30338971	4067	19.37	3116083	10.27	1.8856	
-49150	-48650	-48900	21000	30338971	4018	19.13	3116132	10.27	1.8628	
-49100	-48600	-48850	21000	30338971	3968	18.90	3116182	10.27	1.8396	
-49050	-48550	-48800	21000	30338971	3918	18.66	3116232	10.27	1.8164	
-49000	-48500	-48750	21000	30338971	3834	18.26	3116316	10.27	1.7774	
-48950	-48450	-48700	21000	30338971	3734	17.78	3116416	10.27	1.7310	
-48900	-48400	-48650	21000	30338971	3533	16.82	3116617	10.27	1.6377	
-48850	-48350	-48600	21000	30338971	3246	15.46	3116904	10.27	1.5046	
-48800	-48300	-48550	21000	30338971	2968	14.13	3117182	10.27	1.3756	
-48750	-48250	-48500	21000	30338971	2680	12.76	3117470	10.28	1.2420	
-48700	-48200	-48450	21000	30338971	2452	11.68	3117698	10.28	1.1362	
-48650	-48150	-48400	21000	30338971	2301	10.96	3117849	10.28	1.0662	
-48600	-48100	-48350	21000	30338971	2151	10.24	3117999	10.28	0.9967	
-48550	-48050	-48300	21000	30338971	2001	9.53	3118149	10.28	0.9271	
-48500	-48000	-48250	21000	30338971	1886	8.98	3118264	10.28	0.8738	
-48450	-47950	-48200	21000	30338971	1836	8.74	3118314	10.28	0.8506	
-48400	-47900	-48150	21000	30338971	1863	8.87	3118287	10.28	0.8631	
-48350	-47850	-48100	21000	30338971	1898	9.04	3118252	10.28	0.8794	
-48300	-47800	-48050	21000	30338971	1898	9.04	3118252	10.28	0.8794	
-48250	-47750	-48000	21000	30338971	1898	9.04	3118252	10.28	0.8794	
-48200	-47700	-47950	21000	30338971	1876	8.93	3118274	10.28	0.8692	
-48150	-47650	-47900	21000	30338971	1826	8.70	3118324	10.28	0.8460	
-48100	-47600	-47850	21000	30338971	1776	8.46	3118374	10.28	0.8228	
-48050	-47550	-47800	21000	30338971	1738	8.28	3118412	10.28	0.8052	
-48000	-47500	-47750	21000	30338971	1738	8.28	3118412	10.28	0.8052	
-47950	-47450	-47700	21000	30338971	1766	8.41	3118384	10.28	0.8182	
-47900	-47400	-47650	21000	30338971	1801	8.58	3118349	10.28	0.8344	
-47850	-47350	-47600	21000	30338971	1915	9.12	3118235	10.28	0.8872	
-47800	-47300	-47550	21000	30338971	2065	9.83	3118085	10.28	0.9568	
-47750	-47250	-47500	21000	30338971	2215	10.55	3117935	10.28	1.0263	
-47700	-47200	-47450	21000	30338971	2365	11.26	3117785	10.28	1.0959	
-47650	-47150	-47400	21000	30338971	2515	11.98	3117635	10.28	1.1655	
-47600	-47100	-47350	21000	30338971	2665	12.69	3117485	10.28	1.2350	
-47550	-47050	-47300	21000	30338971	2803	13.35	3117347	10.28	1.2990	
-47500	-47000	-47250	21000	30338971	2903	13.82	3117247	10.27	1.3454	
-47450	-46950	-47200	21000	30338971	2975	14.17	3117175	10.27	1.3788	
-47400	-46900	-47150	21000	30338971	2988	14.23	3117162	10.27	1.3849	
-47350	-46850	-47100	21000	30338971	2943	14.01	3117207	10.27	1.3640	
-47300	-46800	-47050	21000	30338971	2943	14.01	3117207	10.27	1.3640	
-47250	-46750	-47000	21000	30338971	2943	14.01	3117207	10.27	1.3640	
-47200	-46700	-46950	21000	30338971	2915	13.88	3117235	10.27	1.3510	
-47150	-46650	-46900	21000	30338971	2840	13.52	3117310	10.27	1.3162	
-47100	-46600	-46850	21000	30338971	2740	13.05	3117410	10.28	1.2698	
-47050	-46550	-46800	21000	30338971	2640	12.57	3117510	10.28	1.2234	
-47000	-46500	-46750	21000	30338971	2540	12.10	3117610	10.28	1.1770	
-46950	-46450	-46700	21000	30338971	2440	11.62	3117710	10.28	1.1307	
-46900	-46400	-46650	21000	30338971	2352	11.20	3117798	10.28	1.0899	
-46850	-46350	-46600	21000	30338971	2297	10.94	3117853	10.28	1.0644	
-46800	-46300	-46550	21000	30338971	2197	10.46	3117953	10.28	1.0180	
-46750	-46250	-46500	21000	30338971	2097	9.99	3118053	10.28	0.9716	
-46700	-46200	-46450	21000	30338971	2068	9.85	3118082	10.28	0.9582	
-46650	-46150	-46400	21000	30338971	2108	10.04	3118042	10.28	0.9767	
-46600	-46100	-46350	21000	30338971	2186	10.41	3117964	10.28	1.0129	
-46550	-46050	-46300	21000	30338971	2236	10.65	3117914	10.28	1.0361	
-46500	-46000	-46250	21000	30338971	2286	10.89	3117864	10.28	1.0593	
-46450	-45950	-46200	21000	30338971	2331	11.10	3117819	10.28	1.0801	
-46400	-45900	-46150	21000	30338971	2364	11.26	3117786	10.28	1.0954	
-46350	-45850	-46100	21000	30338971	2364	11.26	3117786	10.28	1.0954	
-46300	-45800	-46050	21000	30338971	2364	11.26	3117786	10.28	1.0954	
-46250	-45750	-46000	21000	30338971	2413	11.49	3117737	10.28	1.1181	
-46200	-45700	-45950	21000	30338971	2420	11.52	3117730	10.28	1.1214	
-46150	-45650	-45900	21000	30338971	2372	11.30	3117778	10.28	1.0991	
-46100	-45600	-45850	21000	30338971	2344	11.16	3117806	10.28	1.0862	
-46050	-45550	-45800	21000	30338971	2344	11.16	3117806	10.28	1.0862	
-46000	-45500	-45750	21000	30338971	2344	11.16	3117806	10.28	1.0862	
-45950	-45450	-45700	21000	30338971	2306	10.98	3117844	10.28	1.0685	
-45900	-45400	-45650	21000	30338971	2273	10.82	3117877	10.28	1.0532	
-45850	-45350	-45600	21000	30338971	2273	10.82	3117877	10.28	1.0532	
-45800	-45300	-45550	21000	30338971	2273	10.82	3117877	10.28	1.0532	
-45750	-45250	-45500	21000	30338971	2224	10.59	3117926	10.28	1.0305	
-45700	-45200	-45450	21000	30338971	2174	10.35	3117976	10.28	1.0073	
-45650	-45150	-45400	21000	30338971	2157	10.27	3117993	10.28	0.9994	
-45600	-45100	-45350	21000	30338971	2107	10.03	3118043	10.28	0.9763	
-45550	-45050	-45300	21000	30338971	2057	9.80	3118093	10.28	0.9531	
-45500	-45000	-45250	21000	30338971	2007	9.56	3118143	10.28	0.9299	
-45450	-44950	-45200	21000	30338971	2012	9.58	3118138	10.28	0.9322	
-45400	-44900	-45150	21000	30338971	2012	9.58	3118138	10.28	0.9322	
-45350	-44850	-45100	21000	30338971	2012	9.58	3118138	10.28	0.9322	
-45300	-44800	-45050	21000	30338971	2012	9.58	3118138	10.28	0.9322	
-45250	-44750	-45000	21000	30338971	2017	9.60	3118133	10.28	0.9345	
-45200	-44700	-44950	21000	30338971	2018	9.61	3118132	10.28	0.9350	
-45150	-44650	-44900	21000	30338971	2018	9.61	3118132	10.28	0.9350	
-45100	-44600	-44850	21000	30338971	2038	9.70	3118112	10.28	0.9443	
-45050	-44550	-44800	21000	30338971	2107	10.03	3118043	10.28	0.9763	
-45000	-44500	-44750	21000	30338971	2207	10.51	3117943	10.28	1.0226	
-44950	-44450	-44700	21000	30338971	2295	10.93	3117855	10.28	1.0634	
-44900	-44400	-44650	21000	30338971	2375	11.31	3117775	10.28	1.1005	
-44850	-44350	-44600	21000	30338971	2475	11.79	3117675	10.28	1.1469	
-44800	-44300	-44550	21000	30338971	2568	12.23	3117582	10.28	1.1900	
-44750	-44250	-44500	21000	30338971	2588	12.32	3117562	10.28	1.1993	
-44700	-44200	-44450	21000	30338971	2560	12.19	3117590	10.28	1.1863	
-44650	-44150	-44400	21000	30338971	2510	11.95	3117640	10.28	1.1631	
-44600	-44100	-44350	21000	30338971	2440	11.62	3117710	10.28	1.1307	
-44550	-44050	-44300	21000	30338971	2321	11.05	3117829	10.28	1.0755	
-44500	-44000	-44250	21000	30338971	2196	10.46	3117954	10.28	1.0175	
-44450	-43950	-44200	21000	30338971	2046	9.74	3118104	10.28	0.9480	
-44400	-43900	-44150	21000	30338971	1916	9.12	3118234	10.28	0.8877	
-44350	-43850	-44100	21000	30338971	1766	8.41	3118384	10.28	0.8182	
-44300	-43800	-44050	21000	30338971	1623	7.73	3118527	10.28	0.7519	
-44250	-43750	-44000	21000	30338971	1597	7.60	3118553	10.28	0.7398	
-44200	-43700	-43950	21000	30338971	1659	7.90	3118491	10.28	0.7686	
-44150	-43650	-43900	21000	30338971	1709	8.14	3118441	10.28	0.7917	
-44100	-43600	-43850	21000	30338971	1759	8.38	3118391	10.28	0.8149	
-44050	-43550	-43800	21000	30338971	1810	8.62	3118340	10.28	0.8386	
-44000	-43500	-43750	21000	30338971	1885	8.98	3118265	10.28	0.8733	
-43950	-43450	-43700	21000	30338971	2032	9.68	3118118	10.28	0.9415	
-43900	-43400	-43650	21000	30338971	2187	10.41	3117963	10.28	1.0133	
-43850	-43350	-43600	21000	30338971	2362	11.25	3117788	10.28	1.0945	
-43800	-43300	-43550	21000	30338971	2562	12.20	3117588	10.28	1.1872	
-43750	-43250	-43500	21000	30338971	2762	13.15	3117388	10.28	1.2800	
-43700	-43200	-43450	21000	30338971	2927	13.94	3117223	10.27	1.3566	
-43650	-43150	-43400	21000	30338971	3127	14.89	3117023	10.27	1.4493	
-43600	-43100	-43350	21000	30338971	3327	15.84	3116823	10.27	1.5421	
-43550	-43050	-43300	21000	30338971	3526	16.79	3116624	10.27	1.6345	
-43500	-43000	-43250	21000	30338971	3627	17.27	3116523	10.27	1.6814	
-43450	-42950	-43200	21000	30338971	3640	17.33	3116510	10.27	1.6874	
-43400	-42900	-43150	21000	30338971	3635	17.31	3116515	10.27	1.6851	
-43350	-42850	-43100	21000	30338971	3563	16.97	3116587	10.27	1.6517	
-43300	-42800	-43050	21000	30338971	3413	16.25	3116737	10.27	1.5820	
-43250	-42750	-43000	21000	30338971	3214	15.30	3116936	10.27	1.4897	
-43200	-42700	-42950	21000	30338971	3014	14.35	3117136	10.27	1.3969	
-43150	-42650	-42900	21000	30338971	2813	13.40	3117337	10.28	1.3037	
-43100	-42600	-42850	21000	30338971	2563	12.20	3117587	10.28	1.1877	
-43050	-42550	-42800	21000	30338971	2314	11.02	3117836	10.28	1.0722	
-43000	-42500	-42750	21000	30338971	2163	10.30	3117987	10.28	1.0022	
-42950	-42450	-42700	21000	30338971	2053	9.78	3118097	10.28	0.9512	
-42900	-42400	-42650	21000	30338971	1953	9.30	3118197	10.28	0.9049	
-42850	-42350	-42600	21000	30338971	1873	8.92	3118277	10.28	0.8678	
-42800	-42300	-42550	21000	30338971	1854	8.83	3118296	10.28	0.8590	
-42750	-42250	-42500	21000	30338971	1853	8.82	3118297	10.28	0.8585	
-42700	-42200	-42450	21000	30338971	1853	8.82	3118297	10.28	0.8585	
-42650	-42150	-42400	21000	30338971	1829	8.71	3118321	10.28	0.8474	
-42600	-42100	-42350	21000	30338971	1828	8.70	3118322	10.28	0.8469	
-42550	-42050	-42300	21000	30338971	1805	8.60	3118345	10.28	0.8362	
-42500	-42000	-42250	21000	30338971	1755	8.36	3118395	10.28	0.8131	
-42450	-41950	-42200	21000	30338971	1705	8.12	3118445	10.28	0.7899	
-42400	-41900	-42150	21000	30338971	1655	7.88	3118495	10.28	0.7667	
-42350	-41850	-42100	21000	30338971	1632	7.77	3118518	10.28	0.7561	
-42300	-41800	-42050	21000	30338971	1601	7.62	3118549	10.28	0.7417	
-42250	-41750	-42000	21000	30338971	1524	7.26	3118626	10.28	0.7060	
-42200	-41700	-41950	21000	30338971	1424	6.78	3118726	10.28	0.6597	
-42150	-41650	-41900	21000	30338971	1361	6.48	3118789	10.28	0.6305	
-42100	-41600	-41850	21000	30338971	1362	6.49	3118788	10.28	0.6309	
-42050	-41550	-41800	21000	30338971	1384	6.59	3118766	10.28	0.6411	
-42000	-41500	-41750	21000	30338971	1384	6.59	3118766	10.28	0.6411	
-41950	-41450	-41700	21000	30338971	1362	6.49	3118788	10.28	0.6309	
-41900	-41400	-41650	21000	30338971	1312	6.25	3118838	10.28	0.6077	
-41850	-41350	-41600	21000	30338971	1262	6.01	3118888	10.28	0.5846	
-41800	-41300	-41550	21000	30338971	1212	5.77	3118938	10.28	0.5614	
-41750	-41250	-41500	21000	30338971	1190	5.67	3118960	10.28	0.5512	
-41700	-41200	-41450	21000	30338971	1190	5.67	3118960	10.28	0.5512	
-41650	-41150	-41400	21000	30338971	1178	5.61	3118972	10.28	0.5457	
-41600	-41100	-41350	21000	30338971	1128	5.37	3119022	10.28	0.5225	
