Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-50000	-49500	-49750	21884	30338087	394	1.80	3127556	10.31	0.1746	
-49950	-49450	-49700	21884	30338087	444	2.03	3127506	10.31	0.1968	
-49900	-49400	-49650	21884	30338087	494	2.26	3127456	10.31	0.2190	
-49850	-49350	-49600	21884	30338087	531	2.43	3127419	10.31	0.2354	
-49800	-49300	-49550	21884	30338087	581	2.65	3127369	10.31	0.2575	
-49750	-49250	-49500	21884	30338087	658	3.01	3127292	10.31	0.2917	
-49700	-49200	-49450	21884	30338087	758	3.46	3127192	10.31	0.3360	
-49650	-49150	-49400	21884	30338087	858	3.92	3127092	10.31	0.3804	
-49600	-49100	-49350	21884	30338087	958	4.38	3126992	10.31	0.4247	
-49550	-49050	-49300	21884	30338087	1058	4.83	3126892	10.31	0.4691	
-49500	-49000	-49250	21884	30338087	1158	5.29	3126792	10.31	0.5134	
-49450	-48950	-49200	21884	30338087	1258	5.75	3126692	10.31	0.5578	
-49400	-48900	-49150	21884	30338087	1358	6.21	3126592	10.31	0.6021	
-49350	-48850	-49100	21884	30338087	1466	6.70	3126484	10.31	0.6500	
-49300	-48800	-49050	21884	30338087	1566	7.16	3126384	10.31	0.6944	
-49250	-48750	-49000	21884	30338087	1657	7.57	3126293	10.30	0.7348	
-49200	-48700	-48950	21884	30338087	1707	7.80	3126243	10.30	0.7570	
-49150	-48650	-48900	21884	30338087	1769	8.08	3126181	10.30	0.7845	
-49100	-48600	-48850	21884	30338087	1869	8.54	3126081	10.30	0.8288	
-49050	-48550	-48800	21884	30338087	1969	9.00	3125981	10.30	0.8732	
-49000	-48500	-48750	21884	30338087	2069	9.45	3125881	10.30	0.9176	
-48950	-48450	-48700	21884	30338087	2169	9.91	3125781	10.30	0.9620	
-48900	-48400	-48650	21884	30338087	2269	10.37	3125681	10.30	1.0064	
-48850	-48350	-48600	21884	30338087	2330	10.65	3125620	10.30	1.0334	
-48800	-48300	-48550	21884	30338087	2380	10.88	3125570	10.30	1.0556	
-48750	-48250	-48500	21884	30338087	2412	11.02	3125538	10.30	1.0698	
-48700	-48200	-48450	21884	30338087	2435	11.13	3125515	10.30	1.0800	
-48650	-48150	-48400	21884	30338087	2423	11.07	3125527	10.30	1.0747	
-48600	-48100	-48350	21884	30338087	2373	10.84	3125577	10.30	1.0525	
-48550	-48050	-48300	21884	30338087	2350	10.74	3125600	10.30	1.0423	
-48500	-48000	-48250	21884	30338087	2350	10.74	3125600	10.30	1.0423	
-48450	-47950	-48200	21884	30338087	2350	10.74	3125600	10.30	1.0423	
-48400	-47900	-48150	21884	30338087	2374	10.85	3125576	10.30	1.0530	
-48350	-47850	-48100	21884	30338087	2462	11.25	3125488	10.30	1.0920	
-48300	-47800	-48050	21884	30338087	2562	11.71	3125388	10.30	1.1364	
-48250	-47750	-48000	21884	30338087	2662	12.16	3125288	10.30	1.1808	
-48200	-47700	-47950	21884	30338087	2789	12.74	3125161	10.30	1.2372	
-48150	-47650	-47900	21884	30338087	2939	13.43	3125011	10.30	1.3038	
-48100	-47600	-47850	21884	30338087	3089	14.12	3124861	10.30	1.3704	
-48050	-47550	-47800	21884	30338087	3212	14.68	3124738	10.30	1.4250	
-48000	-47500	-47750	21884	30338087	3312	15.13	3124638	10.30	1.4694	
-47950	-47450	-47700	21884	30338087	3412	15.59	3124538	10.30	1.5139	
-47900	-47400	-47650	21884	30338087	3505	16.02	3124445	10.30	1.5552	
-47850	-47350	-47600	21884	30338087	3567	16.30	3124383	10.30	1.5827	
-47800	-47300	-47550	21884	30338087	3625	16.56	3124325	10.30	1.6085	
-47750	-47250	-47500	21884	30338087	3725	17.02	3124225	10.30	1.6529	
-47700	-47200	-47450	21884	30338087	3825	17.48	3124125	10.30	1.6973	
-47650	-47150	-47400	21884	30338087	3901	17.83	3124049	10.30	1.7311	
-47600	-47100	-47350	21884	30338087	3951	18.05	3123999	10.30	1.7533	
-47550	-47050	-47300	21884	30338087	4001	18.28	3123949	10.30	1.7755	
-47500	-47000	-47250	21884	30338087	4039	18.46	3123911	10.30	1.7924	
-47450	-46950	-47200	21884	30338087	4080	18.64	3123870	10.30	1.8106	
-47400	-46900	-47150	21884	30338087	4113	18.79	3123837	10.30	1.8253	
-47350	-46850	-47100	21884	30338087	4113	18.79	3123837	10.30	1.8253	
-47300	-46800	-47050	21884	30338087	4105	18.76	3123845	10.30	1.8217	
-47250	-46750	-47000	21884	30338087	4016	18.35	3123934	10.30	1.7822	
-47200	-46700	-46950	21884	30338087	3916	17.89	3124034	10.30	1.7378	
-47150	-46650	-46900	21884	30338087	3791	17.32	3124159	10.30	1.6822	
-47100	-46600	-46850	21884	30338087	3691	16.87	3124259	10.30	1.6378	
-47050	-46550	-46800	21884	30338087	3564	16.29	3124386	10.30	1.5814	
-47000	-46500	-46750	21884	30338087	3426	15.66	3124524	10.30	1.5201	
-46950	-46450	-46700	21884	30338087	3285	15.01	3124665	10.30	1.4574	
-46900	-46400	-46650	21884	30338087	3135	14.33	3124815	10.30	1.3908	
-46850	-46350	-46600	21884	30338087	2985	13.64	3124965	10.30	1.3242	
-46800	-46300	-46550	21884	30338087	2853	13.04	3125097	10.30	1.2656	
-46750	-46250	-46500	21884	30338087	2792	12.76	3125158	10.30	1.2385	
-46700	-46200	-46450	21884	30338087	2742	12.53	3125208	10.30	1.2163	
-46650	-46150	-46400	21884	30338087	2741	12.53	3125209	10.30	1.2159	
-46600	-46100	-46350	21884	30338087	2741	12.53	3125209	10.30	1.2159	
-46550	-46050	-46300	21884	30338087	2794	12.77	3125156	10.30	1.2394	
-46500	-46000	-46250	21884	30338087	2894	13.22	3125056	10.30	1.2838	
-46450	-45950	-46200	21884	30338087	2994	13.68	3124956	10.30	1.3282	
-46400	-45900	-46150	21884	30338087	3094	14.14	3124856	10.30	1.3726	
-46350	-45850	-46100	21884	30338087	3194	14.60	3124756	10.30	1.4170	
-46300	-45800	-46050	21884	30338087	3276	14.97	3124674	10.30	1.4535	
-46250	-45750	-46000	21884	30338087	3326	15.20	3124624	10.30	1.4757	
-46200	-45700	-45950	21884	30338087	3376	15.43	3124574	10.30	1.4979	
-46150	-45650	-45900	21884	30338087	3382	15.45	3124568	10.30	1.5005	
-46100	-45600	-45850	21884	30338087	3382	15.45	3124568	10.30	1.5005	
-46050	-45550	-45800	21884	30338087	3356	15.34	3124594	10.30	1.4890	
-46000	-45500	-45750	21884	30338087	3306	15.11	3124644	10.30	1.4668	
-45950	-45450	-45700	21884	30338087	3256	14.88	3124694	10.30	1.4446	
-45900	-45400	-45650	21884	30338087	3206	14.65	3124744	10.30	1.4224	
