Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-25000	-24500	-24750	22000	46878971	2129	9.68	3118021	6.65	1.4550	
-24950	-24450	-24700	22000	46878971	2129	9.68	3118021	6.65	1.4550	
-24900	-24400	-24650	22000	46878971	2109	9.59	3118041	6.65	1.4413	
-24850	-24350	-24600	22000	46878971	2059	9.36	3118091	6.65	1.4071	
-24800	-24300	-24550	22000	46878971	2057	9.35	3118093	6.65	1.4057	
-24750	-24250	-24500	22000	46878971	2088	9.49	3118062	6.65	1.4269	
-24700	-24200	-24450	22000	46878971	2118	9.63	3118032	6.65	1.4474	
-24650	-24150	-24400	22000	46878971	2138	9.72	3118012	6.65	1.4611	
-24600	-24100	-24350	22000	46878971	2231	10.14	3117919	6.65	1.5247	
-24550	-24050	-24300	22000	46878971	2316	10.53	3117834	6.65	1.5829	
-24500	-24000	-24250	22000	46878971	2394	10.88	3117756	6.65	1.6362	
-24450	-23950	-24200	22000	46878971	2344	10.65	3117806	6.65	1.6020	
-24400	-23900	-24150	22000	46878971	2264	10.29	3117886	6.65	1.5473	
-24350	-23850	-24100	22000	46878971	2214	10.06	3117936	6.65	1.5131	
-24300	-23800	-24050	22000	46878971	2199	10.00	3117951	6.65	1.5028	
-24250	-23750	-24000	22000	46878971	2163	9.83	3117987	6.65	1.4782	
-24200	-23700	-23950	22000	46878971	2063	9.38	3118087	6.65	1.4098	
-24150	-23650	-23900	22000	46878971	1932	8.78	3118218	6.65	1.3202	
-24100	-23600	-23850	22000	46878971	1782	8.10	3118368	6.65	1.2177	
-24050	-23550	-23800	22000	46878971	1657	7.53	3118493	6.65	1.1322	
-24000	-23500	-23750	22000	46878971	1556	7.07	3118594	6.65	1.0632	
-23950	-23450	-23700	22000	46878971	1606	7.30	3118544	6.65	1.0974	
-23900	-23400	-23650	22000	46878971	1706	7.75	3118444	6.65	1.1657	
-23850	-23350	-23600	22000	46878971	1806	8.21	3118344	6.65	1.2341	
-23800	-23300	-23550	22000	46878971	1891	8.60	3118259	6.65	1.2922	
-23750	-23250	-23500	22000	46878971	1996	9.07	3118154	6.65	1.3640	
-23700	-23200	-23450	22000	46878971	2173	9.88	3117977	6.65	1.4851	
-23650	-23150	-23400	22000	46878971	2444	11.11	3117706	6.65	1.6704	
-23600	-23100	-23350	22000	46878971	2744	12.47	3117406	6.65	1.8756	
-23550	-23050	-23300	22000	46878971	3004	13.65	3117146	6.65	2.0535	
-23500	-23000	-23250	22000	46878971	3202	14.55	3116948	6.65	2.1890	
-23450	-22950	-23200	22000	46878971	3261	14.82	3116889	6.65	2.2294	
-23400	-22900	-23150	22000	46878971	3346	15.21	3116804	6.65	2.2876	
-23350	-22850	-23100	22000	46878971	3446	15.66	3116704	6.65	2.3560	
-23300	-22800	-23050	22000	46878971	3509	15.95	3116641	6.65	2.3991	
-23250	-22750	-23000	22000	46878971	3512	15.96	3116638	6.65	2.4012	
-23200	-22700	-22950	22000	46878971	3395	15.43	3116755	6.65	2.3211	
-23150	-22650	-22900	22000	46878971	3205	14.57	3116945	6.65	2.1911	
-23100	-22600	-22850	22000	46878971	2985	13.57	3117165	6.65	2.0405	
-23050	-22550	-22800	22000	46878971	2750	12.50	3117400	6.65	1.8797	
-23000	-22500	-22750	22000	46878971	2520	11.45	3117630	6.65	1.7224	
-22950	-22450	-22700	22000	46878971	2341	10.64	3117809	6.65	1.6000	
-22900	-22400	-22650	22000	46878971	2106	9.57	3118044	6.65	1.4392	
-22850	-22350	-22600	22000	46878971	1856	8.44	3118294	6.65	1.2683	
-22800	-22300	-22550	22000	46878971	1596	7.25	3118554	6.65	1.0905	
-22750	-22250	-22500	22000	46878971	1343	6.10	3118807	6.65	0.9176	
-22700	-22200	-22450	22000	46878971	1183	5.38	3118967	6.65	0.8082	
-22650	-22150	-22400	22000	46878971	1033	4.70	3119117	6.65	0.7057	
-22600	-22100	-22350	22000	46878971	923	4.20	3119227	6.65	0.6305	
-22550	-22050	-22300	22000	46878971	873	3.97	3119277	6.65	0.5964	
-22500	-22000	-22250	22000	46878971	855	3.89	3119295	6.65	0.5841	
-22450	-21950	-22200	22000	46878971	947	4.30	3119203	6.65	0.6469	
-22400	-21900	-22150	22000	46878971	1097	4.99	3119053	6.65	0.7494	
-22350	-21850	-22100	22000	46878971	1247	5.67	3118903	6.65	0.8520	
-22300	-21800	-22050	22000	46878971	1424	6.47	3118726	6.65	0.9729	
-22250	-21750	-22000	22000	46878971	1624	7.38	3118526	6.65	1.1097	
-22200	-21700	-21950	22000	46878971	1858	8.45	3118292	6.65	1.2697	
-22150	-21650	-21900	22000	46878971	2108	9.58	3118042	6.65	1.4406	
-22100	-21600	-21850	22000	46878971	2338	10.63	3117812	6.65	1.5979	
-22050	-21550	-21800	22000	46878971	2538	11.54	3117612	6.65	1.7347	
-22000	-21500	-21750	22000	46878971	2686	12.21	3117464	6.65	1.8359	
-21950	-21450	-21700	22000	46878971	2714	12.34	3117436	6.65	1.8551	
-21900	-21400	-21650	22000	46878971	2714	12.34	3117436	6.65	1.8551	
-21850	-21350	-21600	22000	46878971	2714	12.34	3117436	6.65	1.8551	
-21800	-21300	-21550	22000	46878971	2714	12.34	3117436	6.65	1.8551	
-21750	-21250	-21500	22000	46878971	2714	12.34	3117436	6.65	1.8551	
-21700	-21200	-21450	22000	46878971	2658	12.08	3117492	6.65	1.8168	
-21650	-21150	-21400	22000	46878971	2558	11.63	3117592	6.65	1.7484	
-21600	-21100	-21350	22000	46878971	2446	11.12	3117704	6.65	1.6718	
-21550	-21050	-21300	22000	46878971	2296	10.44	3117854	6.65	1.5692	
-21500	-21000	-21250	22000	46878971	2158	9.81	3117992	6.65	1.4748	
-21450	-20950	-21200	22000	46878971	2008	9.13	3118142	6.65	1.3722	
-21400	-20900	-21150	22000	46878971	1858	8.45	3118292	6.65	1.2697	
-21350	-20850	-21100	22000	46878971	1708	7.76	3118442	6.65	1.1671	
-21300	-20800	-21050	22000	46878971	1524	6.93	3118626	6.65	1.0413	
-21250	-20750	-21000	22000	46878971	1324	6.02	3118826	6.65	0.9046	
-21200	-20700	-20950	22000	46878971	1146	5.21	3119004	6.65	0.7829	
-21150	-20650	-20900	22000	46878971	996	4.53	3119154	6.65	0.6804	
-21100	-20600	-20850	22000	46878971	858	3.90	3119292	6.65	0.5861	
-21050	-20550	-20800	22000	46878971	758	3.45	3119392	6.65	0.5178	
-21000	-20500	-20750	22000	46878971	666	3.03	3119484	6.65	0.4549	
-20950	-20450	-20700	22000	46878971	616	2.80	3119534	6.65	0.4208	
-20900	-20400	-20650	22000	46878971	566	2.57	3119584	6.65	0.3866	
-20850	-20350	-20600	22000	46878971	516	2.35	3119634	6.65	0.3525	
-20800	-20300	-20550	22000	46878971	501	2.28	3119649	6.65	0.3422	
-20750	-20250	-20500	22000	46878971	551	2.50	3119599	6.65	0.3764	
-20700	-20200	-20450	22000	46878971	628	2.85	3119522	6.65	0.4290	
-20650	-20150	-20400	22000	46878971	728	3.31	3119422	6.65	0.4973	
-20600	-20100	-20350	22000	46878971	828	3.76	3119322	6.65	0.5656	
-20550	-20050	-20300	22000	46878971	928	4.22	3119222	6.65	0.6340	
-20500	-20000	-20250	21932	46879039	1028	4.69	3119122	6.65	0.7045	
-20450	-19950	-20200	21832	46879139	1128	5.17	3119022	6.65	0.7766	
-20400	-19900	-20150	21732	46879239	1228	5.65	3118922	6.65	0.8493	
-20350	-19850	-20100	21632	46879339	1377	6.37	3118773	6.65	0.9568	
-20300	-19800	-20050	21532	46879439	1545	7.18	3118605	6.65	1.0786	
-20250	-19750	-20000	21568	46879403	1707	7.91	3118443	6.65	1.1898	
-20200	-19700	-19950	21668	46879303	1917	8.85	3118233	6.65	1.3301	
-20150	-19650	-19900	21768	46879203	2117	9.73	3118033	6.65	1.4622	
-20100	-19600	-19850	21868	46879103	2290	10.47	3117860	6.65	1.5745	
-20050	-19550	-19800	21968	46879003	2440	11.11	3117710	6.65	1.6701	
-20000	-19500	-19750	22000	46878971	2590	11.77	3117560	6.65	1.7703	
-19950	-19450	-19700	22000	46878971	2740	12.45	3117410	6.65	1.8729	
-19900	-19400	-19650	22000	46878971	2890	13.14	3117260	6.65	1.9755	
-19850	-19350	-19600	22000	46878971	2972	13.51	3117178	6.65	2.0316	
-19800	-19300	-19550	22000	46878971	2983	13.56	3117167	6.65	2.0391	
-19750	-19250	-19500	22000	46878971	2884	13.11	3117266	6.65	1.9714	
-19700	-19200	-19450	22000	46878971	2722	12.37	3117428	6.65	1.8606	
-19650	-19150	-19400	22000	46878971	2609	11.86	3117541	6.65	1.7833	
-19600	-19100	-19350	22000	46878971	2536	11.53	3117614	6.65	1.7333	
-19550	-19050	-19300	22000	46878971	2486	11.30	3117664	6.65	1.6991	
-19500	-19000	-19250	22000	46878971	2436	11.07	3117714	6.65	1.6649	
-19450	-18950	-19200	22000	46878971	2386	10.85	3117764	6.65	1.6307	
-19400	-18900	-19150	22000	46878971	2336	10.62	3117814	6.65	1.5965	
-19350	-18850	-19100	22000	46878971	2305	10.48	3117845	6.65	1.5753	
-19300	-18800	-19050	22000	46878971	2324	10.56	3117826	6.65	1.5883	
-19250	-18750	-19000	22000	46878971	2361	10.73	3117789	6.65	1.6136	
-19200	-18700	-18950	22000	46878971	2406	10.94	3117744	6.65	1.6444	
-19150	-18650	-18900	22000	46878971	2424	11.02	3117726	6.65	1.6567	
-19100	-18600	-18850	22000	46878971	2490	11.32	3117660	6.65	1.7019	
-19050	-18550	-18800	22000	46878971	2548	11.58	3117602	6.65	1.7415	
-19000	-18500	-18750	22000	46878971	2598	11.81	3117552	6.65	1.7757	
-18950	-18450	-18700	22000	46878971	2648	12.04	3117502	6.65	1.8100	
-18900	-18400	-18650	22000	46878971	2688	12.22	3117462	6.65	1.8373	
-18850	-18350	-18600	22000	46878971	2684	12.20	3117466	6.65	1.8346	
-18800	-18300	-18550	22000	46878971	2635	11.98	3117515	6.65	1.8011	
-18750	-18250	-18500	22000	46878971	2635	11.98	3117515	6.65	1.8011	
-18700	-18200	-18450	22000	46878971	2615	11.89	3117535	6.65	1.7874	
-18650	-18150	-18400	22000	46878971	2560	11.64	3117590	6.65	1.7498	
-18600	-18100	-18350	22000	46878971	2444	11.11	3117706	6.65	1.6704	
-18550	-18050	-18300	22000	46878971	2336	10.62	3117814	6.65	1.5965	
-18500	-18000	-18250	22000	46878971	2236	10.16	3117914	6.65	1.5281	
-18450	-17950	-18200	22000	46878971	2136	9.71	3118014	6.65	1.4598	
-18400	-17900	-18150	22000	46878971	2046	9.30	3118104	6.65	1.3982	
-18350	-17850	-18100	22000	46878971	2000	9.09	3118150	6.65	1.3667	
-18300	-17800	-18050	22000	46878971	2001	9.10	3118149	6.65	1.3674	
-18250	-17750	-18000	22000	46878971	2051	9.32	3118099	6.65	1.4016	
-18200	-17700	-17950	22000	46878971	2113	9.60	3118037	6.65	1.4440	
-18150	-17650	-17900	22000	46878971	2213	10.06	3117937	6.65	1.5124	
-18100	-17600	-17850	22000	46878971	2313	10.51	3117837	6.65	1.5808	
-18050	-17550	-17800	22000	46878971	2413	10.97	3117737	6.65	1.6492	
-18000	-17500	-17750	22000	46878971	2513	11.42	3117637	6.65	1.7176	
-17950	-17450	-17700	22000	46878971	2613	11.88	3117537	6.65	1.7860	
-17900	-17400	-17650	22000	46878971	2758	12.54	3117392	6.65	1.8852	
-17850	-17350	-17600	22000	46878971	2896	13.16	3117254	6.65	1.9796	
-17800	-17300	-17550	22000	46878971	3045	13.84	3117105	6.65	2.0816	
-17750	-17250	-17500	22000	46878971	3145	14.30	3117005	6.65	2.1500	
-17700	-17200	-17450	22000	46878971	3213	14.60	3116937	6.65	2.1965	
-17650	-17150	-17400	22000	46878971	3213	14.60	3116937	6.65	2.1965	
-17600	-17100	-17350	22000	46878971	3201	14.55	3116949	6.65	2.1883	
-17550	-17050	-17300	22000	46878971	3151	14.32	3116999	6.65	2.1541	
-17500	-17000	-17250	22000	46878971	3101	14.10	3117049	6.65	2.1199	
-17450	-16950	-17200	22000	46878971	3051	13.87	3117099	6.65	2.0857	
-17400	-16900	-17150	22000	46878971	2955	13.43	3117195	6.65	2.0200	
-17350	-16850	-17100	22000	46878971	2817	12.80	3117333	6.65	1.9256	
-17300	-16800	-17050	22000	46878971	2667	12.12	3117483	6.65	1.8229	
-17250	-16750	-17000	22000	46878971	2497	11.35	3117653	6.65	1.7067	
-17200	-16700	-16950	22000	46878971	2317	10.53	3117833	6.65	1.5835	
-17150	-16650	-16900	22000	46878971	2167	9.85	3117983	6.65	1.4810	
