Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-25000	-24500	-24750	22000	46878971	1880	8.55	3092434	6.60	1.2954	
-24950	-24450	-24700	22000	46878971	1943	8.83	3092371	6.60	1.3389	
-24900	-24400	-24650	22000	46878971	2037	9.26	3092277	6.60	1.4037	
-24850	-24350	-24600	22000	46878971	2185	9.93	3092129	6.60	1.5057	
-24800	-24300	-24550	22000	46878971	2285	10.39	3092029	6.60	1.5747	
-24750	-24250	-24500	22000	46878971	2385	10.84	3091929	6.60	1.6437	
-24700	-24200	-24450	22000	46878971	2490	11.32	3091824	6.60	1.7161	
-24650	-24150	-24400	22000	46878971	2634	11.97	3091680	6.60	1.8154	
-24600	-24100	-24350	22000	46878971	2718	12.35	3091596	6.59	1.8734	
-24550	-24050	-24300	22000	46878971	2818	12.81	3091496	6.59	1.9424	
-24500	-24000	-24250	22000	46878971	2918	13.26	3091396	6.59	2.0113	
-24450	-23950	-24200	22000	46878971	2991	13.60	3091323	6.59	2.0617	
-24400	-23900	-24150	22000	46878971	3089	14.04	3091225	6.59	2.1293	
-24350	-23850	-24100	22000	46878971	3098	14.08	3091216	6.59	2.1355	
-24300	-23800	-24050	22000	46878971	3110	14.14	3091204	6.59	2.1438	
-24250	-23750	-24000	22000	46878971	3025	13.75	3091289	6.59	2.0852	
-24200	-23700	-23950	22000	46878971	2882	13.10	3091432	6.59	1.9865	
-24150	-23650	-23900	22000	46878971	2732	12.42	3091582	6.59	1.8830	
-24100	-23600	-23850	22000	46878971	2560	11.64	3091754	6.60	1.7644	
-24050	-23550	-23800	22000	46878971	2410	10.95	3091904	6.60	1.6609	
-24000	-23500	-23750	22000	46878971	2260	10.27	3092054	6.60	1.5575	
-23950	-23450	-23700	22000	46878971	2137	9.71	3092177	6.60	1.4726	
-23900	-23400	-23650	22000	46878971	1989	9.04	3092325	6.60	1.3706	
-23850	-23350	-23600	22000	46878971	1882	8.55	3092432	6.60	1.2968	
-23800	-23300	-23550	22000	46878971	1772	8.05	3092542	6.60	1.2210	
-23750	-23250	-23500	22000	46878971	1851	8.41	3092463	6.60	1.2754	
-23700	-23200	-23450	22000	46878971	1986	9.03	3092328	6.60	1.3685	
-23650	-23150	-23400	22000	46878971	2136	9.71	3092178	6.60	1.4719	
-23600	-23100	-23350	22000	46878971	2237	10.17	3092077	6.60	1.5416	
-23550	-23050	-23300	22000	46878971	2302	10.46	3092012	6.60	1.5864	
-23500	-23000	-23250	22000	46878971	2424	11.02	3091890	6.60	1.6706	
-23450	-22950	-23200	22000	46878971	2574	11.70	3091740	6.60	1.7740	
-23400	-22900	-23150	22000	46878971	2720	12.36	3091594	6.59	1.8747	
-23350	-22850	-23100	22000	46878971	2849	12.95	3091465	6.59	1.9637	
-23300	-22800	-23050	22000	46878971	2941	13.37	3091373	6.59	2.0272	
-23250	-22750	-23000	22000	46878971	2932	13.33	3091382	6.59	2.0210	
-23200	-22700	-22950	22000	46878971	2847	12.94	3091467	6.59	1.9624	
-23150	-22650	-22900	22000	46878971	2747	12.49	3091567	6.59	1.8934	
-23100	-22600	-22850	22000	46878971	2660	12.09	3091654	6.59	1.8334	
-23050	-22550	-22800	22000	46878971	2523	11.47	3091791	6.60	1.7389	
-23000	-22500	-22750	22000	46878971	2346	10.66	3091968	6.60	1.6168	
-22950	-22450	-22700	22000	46878971	2146	9.75	3092168	6.60	1.4788	
-22900	-22400	-22650	22000	46878971	1950	8.86	3092364	6.60	1.3437	
-22850	-22350	-22600	22000	46878971	1728	7.85	3092586	6.60	1.1906	
-22800	-22300	-22550	22000	46878971	1584	7.20	3092730	6.60	1.0914	
-22750	-22250	-22500	22000	46878971	1449	6.59	3092865	6.60	0.9983	
-22700	-22200	-22450	22000	46878971	1349	6.13	3092965	6.60	0.9294	
-22650	-22150	-22400	22000	46878971	1261	5.73	3093053	6.60	0.8687	
-22600	-22100	-22350	22000	46878971	1242	5.65	3093072	6.60	0.8556	
-22550	-22050	-22300	22000	46878971	1264	5.75	3093050	6.60	0.8708	
-22500	-22000	-22250	22000	46878971	1257	5.71	3093057	6.60	0.8660	
-22450	-21950	-22200	22000	46878971	1207	5.49	3093107	6.60	0.8315	
-22400	-21900	-22150	22000	46878971	1182	5.37	3093132	6.60	0.8143	
-22350	-21850	-22100	22000	46878971	1245	5.66	3093069	6.60	0.8577	
-22300	-21800	-22050	22000	46878971	1399	6.36	3092915	6.60	0.9638	
-22250	-21750	-22000	22000	46878971	1599	7.27	3092715	6.60	1.1017	
-22200	-21700	-21950	22000	46878971	1811	8.23	3092503	6.60	1.2479	
-22150	-21650	-21900	22000	46878971	2134	9.70	3092180	6.60	1.4706	
-22100	-21600	-21850	22000	46878971	2434	11.06	3091880	6.60	1.6775	
-22050	-21550	-21800	22000	46878971	2734	12.43	3091580	6.59	1.8844	
-22000	-21500	-21750	22000	46878971	3018	13.72	3091296	6.59	2.0803	
-21950	-21450	-21700	22000	46878971	3293	14.97	3091021	6.59	2.2701	
-21900	-21400	-21650	22000	46878971	3553	16.15	3090761	6.59	2.4495	
-21850	-21350	-21600	22000	46878971	3778	17.17	3090536	6.59	2.6049	
-21800	-21300	-21550	22000	46878971	3829	17.40	3090485	6.59	2.6401	
-21750	-21250	-21500	22000	46878971	3836	17.44	3090478	6.59	2.6449	
-21700	-21200	-21450	22000	46878971	3784	17.20	3090530	6.59	2.6090	
-21650	-21150	-21400	22000	46878971	3640	16.55	3090674	6.59	2.5096	
-21600	-21100	-21350	22000	46878971	3428	15.58	3090886	6.59	2.3633	
-21550	-21050	-21300	22000	46878971	3129	14.22	3091185	6.59	2.1569	
-21500	-21000	-21250	22000	46878971	2857	12.99	3091457	6.59	1.9693	
-21450	-20950	-21200	22000	46878971	2632	11.96	3091682	6.60	1.8140	
-21400	-20900	-21150	22000	46878971	2397	10.90	3091917	6.60	1.6519	
-21350	-20850	-21100	22000	46878971	2203	10.01	3092111	6.60	1.5182	
-21300	-20800	-21050	22000	46878971	2098	9.54	3092216	6.60	1.4457	
-21250	-20750	-21000	22000	46878971	1991	9.05	3092323	6.60	1.3720	
-21200	-20700	-20950	22000	46878971	1931	8.78	3092383	6.60	1.3306	
-21150	-20650	-20900	22000	46878971	1840	8.36	3092474	6.60	1.2678	
-21100	-20600	-20850	22000	46878971	1806	8.21	3092508	6.60	1.2444	
-21050	-20550	-20800	22000	46878971	1855	8.43	3092459	6.60	1.2782	
-21000	-20500	-20750	22000	46878971	1905	8.66	3092409	6.60	1.3127	
-20950	-20450	-20700	22000	46878971	1975	8.98	3092339	6.60	1.3609	
-20900	-20400	-20650	22000	46878971	2100	9.55	3092214	6.60	1.4471	
-20850	-20350	-20600	22000	46878971	2199	10.00	3092115	6.60	1.5154	
-20800	-20300	-20550	22000	46878971	2327	10.58	3091987	6.60	1.6037	
-20750	-20250	-20500	22000	46878971	2477	11.26	3091837	6.60	1.7071	
-20700	-20200	-20450	22000	46878971	2664	12.11	3091650	6.59	1.8361	
-20650	-20150	-20400	22000	46878971	2844	12.93	3091470	6.59	1.9603	
-20600	-20100	-20350	22000	46878971	2998	13.63	3091316	6.59	2.0665	
-20550	-20050	-20300	22000	46878971	3186	14.48	3091128	6.59	2.1963	
-20500	-20000	-20250	21932	46879039	3336	15.21	3090978	6.59	2.3069	
-20450	-19950	-20200	21832	46879139	3433	15.72	3090881	6.59	2.3849	
-20400	-19900	-20150	21732	46879239	3439	15.82	3090875	6.59	2.4001	
-20350	-19850	-20100	21632	46879339	3485	16.11	3090829	6.59	2.4435	
-20300	-19800	-20050	21532	46879439	3508	16.29	3090806	6.59	2.4711	
-20250	-19750	-20000	21568	46879403	3471	16.09	3090843	6.59	2.4409	
-20200	-19700	-19950	21668	46879303	3389	15.64	3090925	6.59	2.3722	
-20150	-19650	-19900	21768	46879203	3400	15.62	3090914	6.59	2.3689	
-20100	-19600	-19850	21868	46879103	3442	15.74	3090872	6.59	2.3873	
-20050	-19550	-19800	21968	46879003	3449	15.70	3090865	6.59	2.3812	
-20000	-19500	-19750	22000	46878971	3449	15.68	3090865	6.59	2.3778	
-19950	-19450	-19700	22000	46878971	3563	16.20	3090751	6.59	2.4564	
-19900	-19400	-19650	22000	46878971	3754	17.06	3090560	6.59	2.5883	
