Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-25000	-23000	-24000	88000	46812971	9539	10.84	3438061	7.34	1.4760	
-24800	-22800	-23800	88000	46812971	9236	10.50	3438364	7.34	1.4289	
-24600	-22600	-23600	88000	46812971	9452	10.74	3438148	7.34	1.4625	
-24400	-22400	-23400	88000	46812971	10599	12.04	3437001	7.34	1.6405	
-24200	-22200	-23200	88000	46812971	12198	13.86	3435402	7.34	1.8888	
-24000	-22000	-23000	88000	46812971	13488	15.33	3434112	7.34	2.0894	
-23800	-21800	-22800	88000	46812971	13444	15.28	3434156	7.34	2.0825	
-23600	-21600	-22600	88000	46812971	12673	14.40	3434927	7.34	1.9627	
-23400	-21400	-22400	88000	46812971	11638	13.23	3435962	7.34	1.8018	
-23200	-21200	-22200	88000	46812971	10594	12.04	3437006	7.34	1.6397	
-23000	-21000	-22000	88000	46812971	10082	11.46	3437518	7.34	1.5602	
-22800	-20800	-21800	88000	46812971	9827	11.17	3437773	7.34	1.5206	
-22600	-20600	-21600	88000	46812971	9320	10.59	3438280	7.34	1.4420	
-22400	-20400	-21400	88000	46812971	8278	9.41	3439322	7.35	1.2804	
-22200	-20200	-21200	88000	46812971	7051	8.01	3440549	7.35	1.0902	
-22000	-20000	-21000	87932	46813039	5845	6.65	3441755	7.35	0.9041	
-21800	-19800	-20800	87532	46813439	5293	6.05	3442307	7.35	0.8223	
-21600	-19600	-20600	87132	46813839	5370	6.16	3442230	7.35	0.8382	
-21400	-19400	-20400	86732	46814239	5676	6.54	3441924	7.35	0.8901	
-21200	-19200	-20200	86332	46814639	6618	7.67	3440982	7.35	1.0429	
-21000	-19000	-20000	86068	46814903	7415	8.62	3440185	7.35	1.1724	
-20800	-18800	-19800	86468	46814503	7982	9.23	3439618	7.35	1.2564	
-20600	-18600	-19600	86868	46814103	8366	9.63	3439234	7.35	1.3109	
-20400	-18400	-19400	87268	46813703	8516	9.76	3439084	7.35	1.3283	
-20200	-18200	-19200	87668	46813303	8580	9.79	3439020	7.35	1.3322	
-20000	-18000	-19000	88000	46812971	8888	10.10	3438712	7.35	1.3750	
-19800	-17800	-18800	88000	46812971	9212	10.47	3438388	7.34	1.4252	
-19600	-17600	-18600	88000	46812971	9425	10.71	3438175	7.34	1.4583	
-19400	-17400	-18400	88000	46812971	9554	10.86	3438046	7.34	1.4783	
-19200	-17200	-18200	88000	46812971	9060	10.30	3438540	7.35	1.4016	
-19000	-17000	-18000	88000	46812971	8932	10.15	3438668	7.35	1.3818	
-18800	-16800	-17800	88000	46812971	8832	10.04	3438768	7.35	1.3663	
