Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-25000	-24500	-24750	23000	46877027	3124	13.58	3127376	6.67	2.0359	
-24950	-24450	-24700	23000	46877027	3165	13.76	3127335	6.67	2.0627	
-24900	-24400	-24650	23000	46877027	3215	13.98	3127285	6.67	2.0953	
-24850	-24350	-24600	23000	46877027	3265	14.20	3127235	6.67	2.1279	
-24800	-24300	-24550	23000	46877027	3315	14.41	3127185	6.67	2.1605	
-24750	-24250	-24500	23000	46877027	3334	14.50	3127166	6.67	2.1729	
-24700	-24200	-24450	23000	46877027	3334	14.50	3127166	6.67	2.1729	
-24650	-24150	-24400	23000	46877027	3314	14.41	3127186	6.67	2.1599	
-24600	-24100	-24350	23000	46877027	3264	14.19	3127236	6.67	2.1273	
-24550	-24050	-24300	23000	46877027	3217	13.99	3127283	6.67	2.0966	
-24500	-24000	-24250	23000	46877027	3169	13.78	3127331	6.67	2.0653	
-24450	-23950	-24200	23000	46877027	3078	13.38	3127422	6.67	2.0059	
-24400	-23900	-24150	23000	46877027	2978	12.95	3127522	6.67	1.9407	
-24350	-23850	-24100	23000	46877027	2878	12.51	3127622	6.67	1.8755	
-24300	-23800	-24050	23000	46877027	2778	12.08	3127722	6.67	1.8102	
-24250	-23750	-24000	23000	46877027	2714	11.80	3127786	6.67	1.7685	
-24200	-23700	-23950	23000	46877027	2714	11.80	3127786	6.67	1.7685	
-24150	-23650	-23900	23000	46877027	2714	11.80	3127786	6.67	1.7685	
-24100	-23600	-23850	23000	46877027	2714	11.80	3127786	6.67	1.7685	
-24050	-23550	-23800	23000	46877027	2689	11.69	3127811	6.67	1.7522	
-24000	-23500	-23750	23000	46877027	2668	11.60	3127832	6.67	1.7385	
-23950	-23450	-23700	23000	46877027	2611	11.35	3127889	6.67	1.7013	
-23900	-23400	-23650	23000	46877027	2511	10.92	3127989	6.67	1.6361	
-23850	-23350	-23600	23000	46877027	2411	10.48	3128089	6.67	1.5709	
-23800	-23300	-23550	23000	46877027	2291	9.96	3128209	6.67	1.4927	
-23750	-23250	-23500	23000	46877027	2136	9.29	3128364	6.67	1.3916	
-23700	-23200	-23450	23000	46877027	1936	8.42	3128564	6.67	1.2612	
-23650	-23150	-23400	23000	46877027	1736	7.55	3128764	6.67	1.1309	
-23600	-23100	-23350	23000	46877027	1536	6.68	3128964	6.67	1.0005	
-23550	-23050	-23300	23000	46877027	1361	5.92	3129139	6.68	0.8865	
-23500	-23000	-23250	23000	46877027	1223	5.32	3129277	6.68	0.7966	
-23450	-22950	-23200	23000	46877027	1130	4.91	3129370	6.68	0.7360	
-23400	-22900	-23150	23000	46877027	1080	4.70	3129420	6.68	0.7034	
-23350	-22850	-23100	23000	46877027	1030	4.48	3129470	6.68	0.6708	
-23300	-22800	-23050	23000	46877027	1000	4.35	3129500	6.68	0.6513	
-23250	-22750	-23000	23000	46877027	1000	4.35	3129500	6.68	0.6513	
-23200	-22700	-22950	23000	46877027	1000	4.35	3129500	6.68	0.6513	
-23150	-22650	-22900	23000	46877027	1000	4.35	3129500	6.68	0.6513	
-23100	-22600	-22850	23000	46877027	1035	4.50	3129465	6.68	0.6741	
-23050	-22550	-22800	23000	46877027	1085	4.72	3129415	6.68	0.7066	
-23000	-22500	-22750	23000	46877027	1135	4.93	3129365	6.68	0.7392	
-22950	-22450	-22700	23000	46877027	1185	5.15	3129315	6.68	0.7718	
-22900	-22400	-22650	23000	46877027	1235	5.37	3129265	6.68	0.8044	
-22850	-22350	-22600	23000	46877027	1285	5.59	3129215	6.68	0.8370	
-22800	-22300	-22550	23000	46877027	1335	5.80	3129165	6.68	0.8695	
-22750	-22250	-22500	23000	46877027	1336	5.81	3129164	6.68	0.8702	
-22700	-22200	-22450	23000	46877027	1336	5.81	3129164	6.68	0.8702	
-22650	-22150	-22400	23000	46877027	1336	5.81	3129164	6.68	0.8702	
-22600	-22100	-22350	23000	46877027	1301	5.66	3129199	6.68	0.8474	
-22550	-22050	-22300	23000	46877027	1251	5.44	3129249	6.68	0.8148	
-22500	-22000	-22250	23000	46877027	1201	5.22	3129299	6.68	0.7822	
-22450	-21950	-22200	23000	46877027	1151	5.00	3129349	6.68	0.7496	
-22400	-21900	-22150	23000	46877027	1101	4.79	3129399	6.68	0.7171	
-22350	-21850	-22100	23000	46877027	1051	4.57	3129449	6.68	0.6845	
-22300	-21800	-22050	23000	46877027	1001	4.35	3129499	6.68	0.6519	
-22250	-21750	-22000	23000	46877027	1000	4.35	3129500	6.68	0.6513	
-22200	-21700	-21950	23000	46877027	1000	4.35	3129500	6.68	0.6513	
-22150	-21650	-21900	23000	46877027	1000	4.35	3129500	6.68	0.6513	
-22100	-21600	-21850	23000	46877027	1000	4.35	3129500	6.68	0.6513	
-22050	-21550	-21800	23000	46877027	1000	4.35	3129500	6.68	0.6513	
-22000	-21500	-21750	23000	46877027	1000	4.35	3129500	6.68	0.6513	
-21950	-21450	-21700	23000	46877027	1012	4.40	3129488	6.68	0.6591	
-21900	-21400	-21650	23000	46877027	1063	4.62	3129437	6.68	0.6923	
-21850	-21350	-21600	23000	46877027	1163	5.06	3129337	6.68	0.7575	
-21800	-21300	-21550	23000	46877027	1263	5.49	3129237	6.68	0.8226	
-21750	-21250	-21500	23000	46877027	1363	5.93	3129137	6.68	0.8878	
-21700	-21200	-21450	23000	46877027	1463	6.36	3129037	6.67	0.9529	
-21650	-21150	-21400	23000	46877027	1563	6.80	3128937	6.67	1.0181	
-21600	-21100	-21350	23000	46877027	1675	7.28	3128825	6.67	1.0911	
-21550	-21050	-21300	23000	46877027	1825	7.93	3128675	6.67	1.1889	
-21500	-21000	-21250	23000	46877027	1975	8.59	3128525	6.67	1.2866	
-21450	-20950	-21200	23000	46877027	2113	9.19	3128387	6.67	1.3766	
-21400	-20900	-21150	23000	46877027	2255	9.80	3128245	6.67	1.4692	
-21350	-20850	-21100	23000	46877027	2355	10.24	3128145	6.67	1.5344	
-21300	-20800	-21050	23000	46877027	2455	10.67	3128045	6.67	1.5996	
-21250	-20750	-21000	23000	46877027	2592	11.27	3127908	6.67	1.6889	
-21200	-20700	-20950	23000	46877027	2742	11.92	3127758	6.67	1.7868	
-21150	-20650	-20900	23000	46877027	2892	12.57	3127608	6.67	1.8846	
-21100	-20600	-20850	23000	46877027	3025	13.15	3127475	6.67	1.9714	
-21050	-20550	-20800	23000	46877027	3075	13.37	3127425	6.67	2.0040	
-21000	-20500	-20750	23000	46877027	3125	13.59	3127375	6.67	2.0366	
