Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-25000	-24900	-24950	4400	46896571	700	15.91	3976676	8.48	1.8761	
-24990	-24890	-24940	4400	46896571	700	15.91	3976676	8.48	1.8761	
-24980	-24880	-24930	4400	46896571	700	15.91	3976676	8.48	1.8761	
-24970	-24870	-24920	4400	46896571	700	15.91	3976676	8.48	1.8761	
-24960	-24860	-24910	4400	46896571	710	16.14	3976666	8.48	1.9030	
-24950	-24850	-24900	4400	46896571	720	16.36	3976656	8.48	1.9298	
-24940	-24840	-24890	4400	46896571	730	16.59	3976646	8.48	1.9566	
-24930	-24830	-24880	4400	46896571	740	16.82	3976636	8.48	1.9834	
-24920	-24820	-24870	4400	46896571	750	17.05	3976626	8.48	2.0102	
-24910	-24810	-24860	4400	46896571	756	17.18	3976620	8.48	2.0263	
-24900	-24800	-24850	4400	46896571	756	17.18	3976620	8.48	2.0263	
-24890	-24790	-24840	4400	46896571	756	17.18	3976620	8.48	2.0263	
-24880	-24780	-24830	4400	46896571	756	17.18	3976620	8.48	2.0263	
-24870	-24770	-24820	4400	46896571	750	17.05	3976626	8.48	2.0102	
-24860	-24760	-24810	4400	46896571	730	16.59	3976646	8.48	1.9566	
-24850	-24750	-24800	4400	46896571	710	16.14	3976666	8.48	1.9030	
-24840	-24740	-24790	4400	46896571	690	15.68	3976686	8.48	1.8493	
-24830	-24730	-24780	4400	46896571	677	15.39	3976699	8.48	1.8145	
-24820	-24720	-24770	4400	46896571	657	14.93	3976719	8.48	1.7609	
-24810	-24710	-24760	4400	46896571	641	14.57	3976735	8.48	1.7180	
-24800	-24700	-24750	4400	46896571	631	14.34	3976745	8.48	1.6912	
-24790	-24690	-24740	4400	46896571	621	14.11	3976755	8.48	1.6644	
-24780	-24680	-24730	4400	46896571	608	13.82	3976768	8.48	1.6295	
-24770	-24670	-24720	4400	46896571	594	13.50	3976782	8.48	1.5920	
-24760	-24660	-24710	4400	46896571	584	13.27	3976792	8.48	1.5652	
-24750	-24650	-24700	4400	46896571	579	13.16	3976797	8.48	1.5518	
-24740	-24640	-24690	4400	46896571	579	13.16	3976797	8.48	1.5518	
-24730	-24630	-24680	4400	46896571	564	12.82	3976812	8.48	1.5116	
-24720	-24620	-24670	4400	46896571	554	12.59	3976822	8.48	1.4848	
-24710	-24610	-24660	4400	46896571	544	12.36	3976832	8.48	1.4580	
-24700	-24600	-24650	4400	46896571	534	12.14	3976842	8.48	1.4312	
-24690	-24590	-24640	4400	46896571	524	11.91	3976852	8.48	1.4044	
-24680	-24580	-24630	4400	46896571	517	11.75	3976859	8.48	1.3856	
-24670	-24570	-24620	4400	46896571	517	11.75	3976859	8.48	1.3856	
-24660	-24560	-24610	4400	46896571	517	11.75	3976859	8.48	1.3856	
-24650	-24550	-24600	4400	46896571	512	11.64	3976864	8.48	1.3722	
-24640	-24540	-24590	4400	46896571	500	11.36	3976876	8.48	1.3400	
-24630	-24530	-24580	4400	46896571	478	10.86	3976898	8.48	1.2811	
-24620	-24520	-24570	4400	46896571	458	10.41	3976918	8.48	1.2275	
-24610	-24510	-24560	4400	46896571	449	10.20	3976927	8.48	1.2033	
-24600	-24500	-24550	4400	46896571	448	10.18	3976928	8.48	1.2007	
-24590	-24490	-24540	4400	46896571	441	10.02	3976935	8.48	1.1819	
