Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-25000	-23000	-24000	92000	46808027	14038	15.26	4408412	9.42	1.6202	
-24800	-22800	-23800	92000	46808027	14802	16.09	4407648	9.42	1.7086	
-24600	-22600	-23600	92000	46808027	15413	16.75	4407037	9.42	1.7794	
-24400	-22400	-23400	92000	46808027	15878	17.26	4406572	9.41	1.8333	
-24200	-22200	-23200	92000	46808027	15969	17.36	4406481	9.41	1.8438	
-24000	-22000	-23000	92000	46808027	15857	17.24	4406593	9.41	1.8308	
-23800	-21800	-22800	92000	46808027	15965	17.35	4406485	9.41	1.8434	
-23600	-21600	-22600	92000	46808027	16249	17.66	4406201	9.41	1.8763	
-23400	-21400	-22400	92000	46808027	16364	17.79	4406086	9.41	1.8896	
-23200	-21200	-22200	92000	46808027	16533	17.97	4405917	9.41	1.9092	
-23000	-21000	-22000	92000	46808027	16783	18.24	4405667	9.41	1.9382	
-22800	-20800	-21800	92000	46808027	17226	18.72	4405224	9.41	1.9895	
-22600	-20600	-21600	92000	46808027	17760	19.30	4404690	9.41	2.0514	
-22400	-20400	-21400	92000	46808027	18538	20.15	4403912	9.41	2.1417	
-22200	-20200	-21200	92000	46808027	19644	21.35	4402806	9.41	2.2700	
-22000	-20000	-21000	91932	46808095	20709	22.53	4401741	9.40	2.3955	
-21800	-19800	-20800	91532	46808495	21272	23.24	4401178	9.40	2.4717	
-21600	-19600	-20600	91132	46808895	21323	23.40	4401127	9.40	2.4885	
-21400	-19400	-20400	90732	46809295	21072	23.22	4401378	9.40	2.4700	
-21200	-19200	-20200	90332	46809695	20560	22.76	4401890	9.40	2.4203	
-21000	-19000	-20000	90068	46809959	20130	22.35	4402320	9.40	2.3765	
-20800	-18800	-19800	90468	46809559	19867	21.96	4402583	9.41	2.3349	
-20600	-18600	-19600	90868	46809159	19736	21.72	4402714	9.41	2.3092	
-20400	-18400	-19400	91268	46808759	19634	21.51	4402816	9.41	2.2871	
-20200	-18200	-19200	91668	46808359	19466	21.24	4402984	9.41	2.2575	
-20000	-18000	-19000	92000	46808027	19036	20.69	4403414	9.41	2.1995	
-19800	-17800	-18800	92000	46808027	18567	20.18	4403883	9.41	2.1451	
-19600	-17600	-18600	92000	46808027	18359	19.96	4404091	9.41	2.1209	
-19400	-17400	-18400	92000	46808027	18559	20.17	4403891	9.41	2.1441	
-19200	-17200	-18200	92000	46808027	18940	20.59	4403510	9.41	2.1883	
-19000	-17000	-18000	92000	46808027	19140	20.80	4403310	9.41	2.2115	
-18800	-16800	-17800	92000	46808027	19185	20.85	4403265	9.41	2.2168	
-18600	-16600	-17600	92000	46808027	19162	20.83	4403288	9.41	2.2141	
-18400	-16400	-17400	92000	46808027	19206	20.88	4403244	9.41	2.2192	
-18200	-16200	-17200	92000	46808027	19331	21.01	4403119	9.41	2.2337	
-18000	-16000	-17000	92000	46808027	19523	21.22	4402927	9.41	2.2560	
-17800	-15800	-16800	92000	46808027	19523	21.22	4402927	9.41	2.2560	
-17600	-15600	-16600	92000	46808027	19259	20.93	4403191	9.41	2.2254	
-17400	-15400	-16400	92000	46808027	18881	20.52	4403569	9.41	2.1815	
-17200	-15200	-16200	92000	46808027	18924	20.57	4403526	9.41	2.1865	
-17000	-15000	-16000	92000	46808027	19094	20.75	4403356	9.41	2.2062	
-16800	-14800	-15800	92000	46808027	19459	21.15	4402991	9.41	2.2486	
-16600	-14600	-15600	92000	46808027	19554	21.25	4402896	9.41	2.2596	
-16400	-14400	-15400	92000	46808027	19569	21.27	4402881	9.41	2.2613	
-16200	-14200	-15200	92000	46808027	19492	21.19	4402958	9.41	2.2524	
-16000	-14000	-15000	92000	46808027	19788	21.51	4402662	9.41	2.2868	
-15800	-13800	-14800	92000	46808027	19988	21.73	4402462	9.41	2.3100	
-15600	-13600	-14600	92000	46808027	20424	22.20	4402026	9.40	2.3606	
-15400	-13400	-14400	92000	46808027	20485	22.27	4401965	9.40	2.3677	
-15200	-13200	-14200	92000	46808027	20204	21.96	4402246	9.40	2.3350	
-15000	-13000	-14000	92000	46808027	20071	21.82	4402379	9.41	2.3196	
-14800	-12800	-13800	92000	46808027	19937	21.67	4402513	9.41	2.3040	
-14600	-12600	-13600	92000	46808027	19873	21.60	4402577	9.41	2.2966	
-14400	-12400	-13400	92000	46808027	20307	22.07	4402143	9.40	2.3470	
-14200	-12200	-13200	92000	46808027	21021	22.85	4401429	9.40	2.4299	
-14000	-12000	-13000	92000	46808027	21299	23.15	4401151	9.40	2.4622	
