Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-25000	-24500	-24750	21884	46879087	1542	7.05	3305808	7.05	0.9992	
-24950	-24450	-24700	21884	46879087	1500	6.85	3305850	7.05	0.9720	
-24900	-24400	-24650	21884	46879087	1500	6.85	3305850	7.05	0.9720	
-24850	-24350	-24600	21884	46879087	1500	6.85	3305850	7.05	0.9720	
-24800	-24300	-24550	21884	46879087	1500	6.85	3305850	7.05	0.9720	
-24750	-24250	-24500	21884	46879087	1500	6.85	3305850	7.05	0.9720	
-24700	-24200	-24450	21884	46879087	1500	6.85	3305850	7.05	0.9720	
-24650	-24150	-24400	21884	46879087	1459	6.67	3305891	7.05	0.9454	
-24600	-24100	-24350	21884	46879087	1453	6.64	3305897	7.05	0.9415	
-24550	-24050	-24300	21884	46879087	1488	6.80	3305862	7.05	0.9642	
-24500	-24000	-24250	21884	46879087	1538	7.03	3305812	7.05	0.9966	
-24450	-23950	-24200	21884	46879087	1626	7.43	3305724	7.05	1.0537	
-24400	-23900	-24150	21884	46879087	1726	7.89	3305624	7.05	1.1185	
-24350	-23850	-24100	21884	46879087	1826	8.34	3305524	7.05	1.1833	
-24300	-23800	-24050	21884	46879087	1926	8.80	3305424	7.05	1.2482	
-24250	-23750	-24000	21884	46879087	2026	9.26	3305324	7.05	1.3130	
-24200	-23700	-23950	21884	46879087	2126	9.71	3305224	7.05	1.3779	
-24150	-23650	-23900	21884	46879087	2267	10.36	3305083	7.05	1.4693	
-24100	-23600	-23850	21884	46879087	2411	11.02	3304939	7.05	1.5627	
-24050	-23550	-23800	21884	46879087	2561	11.70	3304789	7.05	1.6600	
-24000	-23500	-23750	21884	46879087	2711	12.39	3304639	7.05	1.7573	
-23950	-23450	-23700	21884	46879087	2823	12.90	3304527	7.05	1.8300	
-23900	-23400	-23650	21884	46879087	2923	13.36	3304427	7.05	1.8949	
-23850	-23350	-23600	21884	46879087	3023	13.81	3304327	7.05	1.9598	
-23800	-23300	-23550	21884	46879087	3123	14.27	3304227	7.05	2.0247	
-23750	-23250	-23500	21884	46879087	3223	14.73	3304127	7.05	2.0896	
-23700	-23200	-23450	21884	46879087	3323	15.18	3304027	7.05	2.1545	
-23650	-23150	-23400	21884	46879087	3423	15.64	3303927	7.05	2.2194	
-23600	-23100	-23350	21884	46879087	3450	15.76	3303900	7.05	2.2369	
-23550	-23050	-23300	21884	46879087	3371	15.40	3303979	7.05	2.1856	
-23500	-23000	-23250	21884	46879087	3271	14.95	3304079	7.05	2.1207	
-23450	-22950	-23200	21884	46879087	3171	14.49	3304179	7.05	2.0558	
-23400	-22900	-23150	21884	46879087	3071	14.03	3304279	7.05	1.9909	
-23350	-22850	-23100	21884	46879087	2936	13.42	3304414	7.05	1.9033	
-23300	-22800	-23050	21884	46879087	2786	12.73	3304564	7.05	1.8060	
-23250	-22750	-23000	21884	46879087	2636	12.05	3304714	7.05	1.7087	
-23200	-22700	-22950	21884	46879087	2486	11.36	3304864	7.05	1.6114	
-23150	-22650	-22900	21884	46879087	2336	10.67	3305014	7.05	1.5141	
-23100	-22600	-22850	21884	46879087	2266	10.35	3305084	7.05	1.4687	
-23050	-22550	-22800	21884	46879087	2260	10.33	3305090	7.05	1.4648	
-23000	-22500	-22750	21884	46879087	2260	10.33	3305090	7.05	1.4648	
-22950	-22450	-22700	21884	46879087	2222	10.15	3305128	7.05	1.4402	
-22900	-22400	-22650	21884	46879087	2172	9.93	3305178	7.05	1.4077	
-22850	-22350	-22600	21884	46879087	2168	9.91	3305182	7.05	1.4051	
-22800	-22300	-22550	21884	46879087	2218	10.14	3305132	7.05	1.4376	
-22750	-22250	-22500	21884	46879087	2268	10.36	3305082	7.05	1.4700	
-22700	-22200	-22450	21884	46879087	2318	10.59	3305032	7.05	1.5024	
-22650	-22150	-22400	21884	46879087	2368	10.82	3304982	7.05	1.5348	
-22600	-22100	-22350	21884	46879087	2338	10.68	3305012	7.05	1.5154	
-22550	-22050	-22300	21884	46879087	2338	10.68	3305012	7.05	1.5154	
-22500	-22000	-22250	21884	46879087	2338	10.68	3305012	7.05	1.5154	
-22450	-21950	-22200	21884	46879087	2376	10.86	3304974	7.05	1.5400	
-22400	-21900	-22150	21884	46879087	2426	11.09	3304924	7.05	1.5725	
