Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-25000	-23000	-24000	84000	46816027	8517	10.14	3447409	7.36	1.3769	
-24800	-22800	-23800	84000	46816027	8555	10.18	3447371	7.36	1.3831	
-24600	-22600	-23600	84000	46816027	8744	10.41	3447182	7.36	1.4137	
-24400	-22400	-23400	84000	46816027	8870	10.56	3447056	7.36	1.4341	
-24200	-22200	-23200	84000	46816027	8800	10.48	3447126	7.36	1.4228	
-24000	-22000	-23000	84000	46816027	8714	10.37	3447212	7.36	1.4089	
-23800	-21800	-22800	84000	46816027	8832	10.51	3447094	7.36	1.4280	
-23600	-21600	-22600	84000	46816027	8867	10.56	3447059	7.36	1.4337	
-23400	-21400	-22400	84000	46816027	8936	10.64	3446990	7.36	1.4448	
-23200	-21200	-22200	84000	46816027	9109	10.84	3446817	7.36	1.4729	
-23000	-21000	-22000	84000	46816027	9818	11.69	3446108	7.36	1.5878	
-22800	-20800	-21800	84000	46816027	10178	12.12	3445748	7.36	1.6462	
-22600	-20600	-21600	84000	46816027	10463	12.46	3445463	7.36	1.6925	
-22400	-20400	-21400	84000	46816027	10818	12.88	3445108	7.36	1.7501	
-22200	-20200	-21200	84000	46816027	10946	13.03	3444980	7.36	1.7709	
-22000	-20000	-21000	84000	46816027	10958	13.05	3444968	7.36	1.7728	
-21800	-19800	-20800	84000	46816027	11040	13.14	3444886	7.36	1.7861	
-21600	-19600	-20600	84000	46816027	10788	12.84	3445138	7.36	1.7452	
-21400	-19400	-20400	84000	46816027	10187	12.13	3445739	7.36	1.6477	
-21200	-19200	-20200	84000	46816027	9425	11.22	3446501	7.36	1.5241	
-21000	-19000	-20000	84000	46816027	8738	10.40	3447188	7.36	1.4127	
-20800	-18800	-19800	84000	46816027	8609	10.25	3447317	7.36	1.3918	
-20600	-18600	-19600	84000	46816027	8674	10.33	3447252	7.36	1.4024	
-20400	-18400	-19400	84000	46816027	8501	10.12	3447425	7.36	1.3743	
-20200	-18200	-19200	84000	46816027	8090	9.63	3447836	7.36	1.3077	
-20000	-18000	-19000	84000	46816027	8250	9.82	3447676	7.36	1.3337	
-19800	-17800	-18800	84000	46816027	8544	10.17	3447382	7.36	1.3813	
-19600	-17600	-18600	84000	46816027	9041	10.76	3446885	7.36	1.4619	
-19400	-17400	-18400	84000	46816027	9607	11.44	3446319	7.36	1.5536	
-19200	-17200	-18200	84000	46816027	10096	12.02	3445830	7.36	1.6329	
-19000	-17000	-18000	84000	46816027	9874	11.75	3446052	7.36	1.5969	
-18800	-16800	-17800	84000	46816027	9405	11.20	3446521	7.36	1.5209	
-18600	-16600	-17600	84000	46816027	8630	10.27	3447296	7.36	1.3952	
-18400	-16400	-17400	84000	46816027	8310	9.89	3447616	7.36	1.3434	
-18200	-16200	-17200	84000	46816027	8362	9.95	3447564	7.36	1.3518	
-18000	-16000	-17000	84000	46816027	7921	9.43	3448005	7.37	1.2803	
-17800	-15800	-16800	84000	46816027	7695	9.16	3448231	7.37	1.2437	
-17600	-15600	-16600	84000	46816027	7575	9.02	3448351	7.37	1.2243	
-17400	-15400	-16400	84000	46816027	7713	9.18	3448213	7.37	1.2466	
-17200	-15200	-16200	84000	46816027	7740	9.21	3448186	7.37	1.2510	
-17000	-15000	-16000	84000	46816027	8270	9.85	3447656	7.36	1.3369	
-16800	-14800	-15800	84000	46816027	8870	10.56	3447056	7.36	1.4341	
-16600	-14600	-15600	84000	46816027	9556	11.38	3446370	7.36	1.5454	
-16400	-14400	-15400	84000	46816027	9738	11.59	3446188	7.36	1.5749	
-16200	-14200	-15200	84000	46816027	9657	11.50	3446269	7.36	1.5617	
-16000	-14000	-15000	84000	46816027	9631	11.47	3446295	7.36	1.5575	
-15800	-13800	-14800	84000	46816027	9163	10.91	3446763	7.36	1.4816	
-15600	-13600	-14600	84000	46816027	8657	10.31	3447269	7.36	1.3996	
-15400	-13400	-14400	84000	46816027	8160	9.71	3447766	7.36	1.3191	
-15200	-13200	-14200	84000	46816027	7947	9.46	3447979	7.36	1.2846	
-15000	-13000	-14000	84000	46816027	7715	9.18	3448211	7.37	1.2470	
-14800	-12800	-13800	84000	46816027	7843	9.34	3448083	7.37	1.2677	
-14600	-12600	-13600	84000	46816027	8132	9.68	3447794	7.36	1.3145	
-14400	-12400	-13400	84000	46816027	8643	10.29	3447283	7.36	1.3973	
-14200	-12200	-13200	84000	46816027	9155	10.90	3446771	7.36	1.4803	
-14000	-12000	-13000	84000	46816027	9850	11.73	3446076	7.36	1.5930	
-13800	-11800	-12800	84000	46816027	10584	12.60	3445342	7.36	1.7121	
-13600	-11600	-12600	84000	46816027	11064	13.17	3444862	7.36	1.7900	
-13400	-11400	-12400	84000	46816027	11309	13.46	3444617	7.36	1.8298	
-13200	-11200	-12200	84000	46816027	11617	13.83	3444309	7.36	1.8798	
-13000	-11000	-12000	84000	46816027	11999	14.28	3443927	7.36	1.9418	
-12800	-10800	-11800	84000	46816027	12027	14.32	3443899	7.36	1.9464	
-12600	-10600	-11600	84000	46816027	12027	14.32	3443899	7.36	1.9464	
-12400	-10400	-11400	84000	46816027	11554	13.75	3444372	7.36	1.8696	
-12200	-10200	-11200	84000	46816027	11416	13.59	3444510	7.36	1.8471	
