Run	Copy_number	Feature	Average_distance_to_nearest_feature	Standard_deviation	#_of_times_shuffled_average_was_below_real_average
0	2x	satellite	417.6	516.5	.
1	2x	satellite	256.5	247.5	1
2	2x	satellite	289.9	269.4	2
3	2x	satellite	360.0	582.7	3
4	2x	satellite	405.5	393.8	4
5	2x	satellite	331.8	322.1	5
6	2x	satellite	396.0	488.1	6
7	2x	satellite	261.7	333.4	7
8	2x	satellite	368.5	422.7	8
9	2x	satellite	287.4	339.4	9
10	2x	satellite	273.4	350.5	10
11	2x	satellite	268.2	281.0	11
12	2x	satellite	256.2	235.1	12
13	2x	satellite	283.2	259.5	13
14	2x	satellite	261.9	246.0	14
15	2x	satellite	320.8	329.1	15
16	2x	satellite	248.4	338.9	16
17	2x	satellite	277.2	322.4	17
18	2x	satellite	356.4	424.2	18
19	2x	satellite	291.2	390.7	19
20	2x	satellite	213.8	266.7	20
21	2x	satellite	431.8	951.5	20
22	2x	satellite	395.0	477.3	21
23	2x	satellite	299.8	391.4	22
24	2x	satellite	320.8	400.1	23
25	2x	satellite	361.4	405.4	24
26	2x	satellite	249.0	271.0	25
27	2x	satellite	340.0	374.4	26
28	2x	satellite	216.8	272.9	27
29	2x	satellite	306.8	344.5	28
30	2x	satellite	304.9	440.7	29
31	2x	satellite	316.0	466.2	30
32	2x	satellite	294.4	354.7	31
33	2x	satellite	390.5	355.8	32
34	2x	satellite	295.2	370.7	33
35	2x	satellite	236.0	237.1	34
36	2x	satellite	501.8	712.2	34
37	2x	satellite	331.8	418.6	35
38	2x	satellite	319.7	316.3	36
39	2x	satellite	234.2	269.6	37
40	2x	satellite	269.2	295.7	38
41	2x	satellite	319.5	319.7	39
42	2x	satellite	244.3	312.2	40
43	2x	satellite	407.9	474.8	41
44	2x	satellite	366.8	787.2	42
45	2x	satellite	287.5	513.8	43
46	2x	satellite	292.8	320.9	44
47	2x	satellite	383.2	464.4	45
48	2x	satellite	347.3	339.8	46
49	2x	satellite	284.9	294.1	47
50	2x	satellite	351.1	390.2	48
51	2x	satellite	261.8	271.1	49
52	2x	satellite	250.2	377.3	50
53	2x	satellite	294.9	351.3	51
54	2x	satellite	364.0	409.6	52
55	2x	satellite	220.9	228.8	53
56	2x	satellite	254.0	238.7	54
57	2x	satellite	331.8	340.1	55
58	2x	satellite	278.5	391.3	56
59	2x	satellite	738.1	2662.5	56
60	2x	satellite	450.4	1050.6	56
61	2x	satellite	414.1	613.6	57
62	2x	satellite	295.6	290.2	58
63	2x	satellite	387.9	744.4	59
64	2x	satellite	573.9	1331.9	59
65	2x	satellite	287.5	320.8	60
66	2x	satellite	385.2	484.4	61
67	2x	satellite	601.0	2598.7	61
68	2x	satellite	239.2	333.4	62
69	2x	satellite	230.0	278.8	63
70	2x	satellite	378.7	342.3	64
71	2x	satellite	437.1	461.7	64
72	2x	satellite	429.2	443.9	64
73	2x	satellite	685.5	2799.5	64
74	2x	satellite	259.6	366.4	65
75	2x	satellite	272.0	336.6	66
76	2x	satellite	244.0	312.9	67
77	2x	satellite	238.0	261.4	68
78	2x	satellite	247.0	238.5	69
79	2x	satellite	287.6	318.3	70
80	2x	satellite	273.7	331.8	71
81	2x	satellite	297.4	334.2	72
82	2x	satellite	298.5	336.5	73
83	2x	satellite	367.2	425.1	74
84	2x	satellite	245.0	329.3	75
85	2x	satellite	251.7	276.3	76
86	2x	satellite	228.8	220.9	77
87	2x	satellite	348.6	326.6	78
88	2x	satellite	254.8	269.9	79
89	2x	satellite	445.9	355.2	79
90	2x	satellite	405.7	826.1	80
91	2x	satellite	249.3	290.4	81
92	2x	satellite	512.2	483.7	81
93	2x	satellite	227.2	284.3	82
94	2x	satellite	253.7	248.4	83
95	2x	satellite	381.1	551.0	84
96	2x	satellite	330.4	373.2	85
97	2x	satellite	321.1	292.6	86
98	2x	satellite	545.2	1433.5	86
99	2x	satellite	276.4	302.6	87
100	2x	satellite	288.5	245.2	88
101	2x	satellite	709.3	2852.0	88
102	2x	satellite	342.7	471.0	89
103	2x	satellite	339.0	475.4	90
104	2x	satellite	389.0	567.7	91
105	2x	satellite	321.3	462.3	92
106	2x	satellite	672.8	1765.2	92
107	2x	satellite	322.8	351.3	93
108	2x	satellite	311.2	357.7	94
109	2x	satellite	330.2	396.6	95
110	2x	satellite	687.1	2562.7	95
111	2x	satellite	845.0	3483.3	95
112	2x	satellite	292.1	332.4	96
113	2x	satellite	239.5	240.7	97
114	2x	satellite	351.2	430.5	98
115	2x	satellite	631.5	2265.0	98
116	2x	satellite	387.5	461.1	99
117	2x	satellite	328.8	394.1	100
118	2x	satellite	262.2	296.2	101
119	2x	satellite	329.7	406.1	102
120	2x	satellite	338.1	422.8	103
