Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-25000	-24500	-24750	22000	46878971	2590	11.77	4415810	9.42	1.2498	
-24950	-24450	-24700	22000	46878971	2490	11.32	4415910	9.42	1.2015	
-24900	-24400	-24650	22000	46878971	2379	10.81	4416021	9.42	1.1479	
-24850	-24350	-24600	22000	46878971	2279	10.36	4416121	9.42	1.0997	
-24800	-24300	-24550	22000	46878971	2180	9.91	4416220	9.42	1.0519	
-24750	-24250	-24500	22000	46878971	2130	9.68	4416270	9.42	1.0277	
-24700	-24200	-24450	22000	46878971	2151	9.78	4416249	9.42	1.0379	
-24650	-24150	-24400	22000	46878971	2223	10.10	4416177	9.42	1.0726	
-24600	-24100	-24350	22000	46878971	2323	10.56	4416077	9.42	1.1209	
-24550	-24050	-24300	22000	46878971	2422	11.01	4415978	9.42	1.1687	
-24500	-24000	-24250	22000	46878971	2472	11.24	4415928	9.42	1.1928	
-24450	-23950	-24200	22000	46878971	2522	11.46	4415878	9.42	1.2170	
-24400	-23900	-24150	22000	46878971	2572	11.69	4415828	9.42	1.2411	
-24350	-23850	-24100	22000	46878971	2621	11.91	4415779	9.42	1.2648	
-24300	-23800	-24050	22000	46878971	2669	12.13	4415731	9.42	1.2880	
-24250	-23750	-24000	22000	46878971	2669	12.13	4415731	9.42	1.2880	
-24200	-23700	-23950	22000	46878971	2647	12.03	4415753	9.42	1.2773	
-24150	-23650	-23900	22000	46878971	2636	11.98	4415764	9.42	1.2720	
-24100	-23600	-23850	22000	46878971	2686	12.21	4415714	9.42	1.2962	
-24050	-23550	-23800	22000	46878971	2737	12.44	4415663	9.42	1.3208	
-24000	-23500	-23750	22000	46878971	2875	13.07	4415525	9.42	1.3874	
-23950	-23450	-23700	22000	46878971	3003	13.65	4415397	9.42	1.4492	
-23900	-23400	-23650	22000	46878971	3103	14.10	4415297	9.42	1.4975	
-23850	-23350	-23600	22000	46878971	3204	14.56	4415196	9.42	1.5463	
-23800	-23300	-23550	22000	46878971	3305	15.02	4415095	9.42	1.5951	
-23750	-23250	-23500	22000	46878971	3405	15.48	4414995	9.42	1.6434	
-23700	-23200	-23450	22000	46878971	3505	15.93	4414895	9.42	1.6917	
-23650	-23150	-23400	22000	46878971	3566	16.21	4414834	9.42	1.7212	
-23600	-23100	-23350	22000	46878971	3566	16.21	4414834	9.42	1.7212	
-23550	-23050	-23300	22000	46878971	3566	16.21	4414834	9.42	1.7212	
-23500	-23000	-23250	22000	46878971	3576	16.25	4414824	9.42	1.7260	
-23450	-22950	-23200	22000	46878971	3598	16.35	4414802	9.42	1.7366	
-23400	-22900	-23150	22000	46878971	3648	16.58	4414752	9.42	1.7608	
-23350	-22850	-23100	22000	46878971	3698	16.81	4414702	9.42	1.7849	
-23300	-22800	-23050	22000	46878971	3749	17.04	4414651	9.42	1.8096	
-23250	-22750	-23000	22000	46878971	3800	17.27	4414600	9.42	1.8342	
-23200	-22700	-22950	22000	46878971	3850	17.50	4414550	9.42	1.8584	
-23150	-22650	-22900	22000	46878971	3900	17.73	4414500	9.42	1.8825	
-23100	-22600	-22850	22000	46878971	3938	17.90	4414462	9.42	1.9009	
-23050	-22550	-22800	22000	46878971	3938	17.90	4414462	9.42	1.9009	
-23000	-22500	-22750	22000	46878971	3890	17.68	4414510	9.42	1.8777	
-22950	-22450	-22700	22000	46878971	3803	17.29	4414597	9.42	1.8357	
-22900	-22400	-22650	22000	46878971	3655	16.61	4414745	9.42	1.7642	
-22850	-22350	-22600	22000	46878971	3505	15.93	4414895	9.42	1.6917	
-22800	-22300	-22550	22000	46878971	3354	15.25	4415046	9.42	1.6188	
-22750	-22250	-22500	22000	46878971	3203	14.56	4415197	9.42	1.5458	
-22700	-22200	-22450	22000	46878971	3041	13.82	4415359	9.42	1.4676	
-22650	-22150	-22400	22000	46878971	2841	12.91	4415559	9.42	1.3710	
-22600	-22100	-22350	22000	46878971	2653	12.06	4415747	9.42	1.2802	
-22550	-22050	-22300	22000	46878971	2503	11.38	4415897	9.42	1.2078	
-22500	-22000	-22250	22000	46878971	2390	10.86	4416010	9.42	1.1532	
-22450	-21950	-22200	22000	46878971	2327	10.58	4416073	9.42	1.1228	
-22400	-21900	-22150	22000	46878971	2325	10.57	4416075	9.42	1.1219	
-22350	-21850	-22100	22000	46878971	2325	10.57	4416075	9.42	1.1219	
-22300	-21800	-22050	22000	46878971	2380	10.82	4416020	9.42	1.1484	
-22250	-21750	-22000	22000	46878971	2480	11.27	4415920	9.42	1.1967	
-22200	-21700	-21950	22000	46878971	2641	12.00	4415759	9.42	1.2744	
-22150	-21650	-21900	22000	46878971	2841	12.91	4415559	9.42	1.3710	
-22100	-21600	-21850	22000	46878971	3041	13.82	4415359	9.42	1.4676	
-22050	-21550	-21800	22000	46878971	3272	14.87	4415128	9.42	1.5792	
-22000	-21500	-21750	22000	46878971	3485	15.84	4414915	9.42	1.6820	
-21950	-21450	-21700	22000	46878971	3685	16.75	4414715	9.42	1.7786	
-21900	-21400	-21650	22000	46878971	3885	17.66	4414515	9.42	1.8753	
-21850	-21350	-21600	22000	46878971	4085	18.57	4414315	9.42	1.9719	
-21800	-21300	-21550	22000	46878971	4229	19.22	4414171	9.42	2.0415	
-21750	-21250	-21500	22000	46878971	4299	19.54	4414101	9.42	2.0753	
-21700	-21200	-21450	22000	46878971	4350	19.77	4414050	9.42	2.0999	
-21650	-21150	-21400	22000	46878971	4400	20.00	4414000	9.42	2.1241	
-21600	-21100	-21350	22000	46878971	4450	20.23	4413950	9.42	2.1483	
-21550	-21050	-21300	22000	46878971	4469	20.31	4413931	9.42	2.1574	
-21500	-21000	-21250	22000	46878971	4518	20.54	4413882	9.42	2.1811	
-21450	-20950	-21200	22000	46878971	4568	20.76	4413832	9.42	2.2053	
-21400	-20900	-21150	22000	46878971	4618	20.99	4413782	9.42	2.2295	
-21350	-20850	-21100	22000	46878971	4712	21.42	4413688	9.42	2.2749	
-21300	-20800	-21050	22000	46878971	4813	21.88	4413587	9.41	2.3237	
-21250	-20750	-21000	22000	46878971	4943	22.47	4413457	9.41	2.3865	
-21200	-20700	-20950	22000	46878971	5043	22.92	4413357	9.41	2.4349	
-21150	-20650	-20900	22000	46878971	5116	23.25	4413284	9.41	2.4702	
-21100	-20600	-20850	22000	46878971	5166	23.48	4413234	9.41	2.4943	
-21050	-20550	-20800	22000	46878971	5216	23.71	4413184	9.41	2.5185	
-21000	-20500	-20750	22000	46878971	5217	23.71	4413183	9.41	2.5190	
-20950	-20450	-20700	22000	46878971	5217	23.71	4413183	9.41	2.5190	
-20900	-20400	-20650	22000	46878971	5260	23.91	4413140	9.41	2.5398	
-20850	-20350	-20600	22000	46878971	5266	23.94	4413134	9.41	2.5427	
-20800	-20300	-20550	22000	46878971	5266	23.94	4413134	9.41	2.5427	
-20750	-20250	-20500	22000	46878971	5223	23.74	4413177	9.41	2.5219	
-20700	-20200	-20450	22000	46878971	5186	23.57	4413214	9.41	2.5040	
-20650	-20150	-20400	22000	46878971	5183	23.56	4413217	9.41	2.5025	
-20600	-20100	-20350	22000	46878971	5233	23.79	4413167	9.41	2.5267	
-20550	-20050	-20300	22000	46878971	5283	24.01	4413117	9.41	2.5509	
-20500	-20000	-20250	21932	46879039	5265	24.01	4413135	9.41	2.5501	
-20450	-19950	-20200	21832	46879139	5215	23.89	4413185	9.41	2.5374	
-20400	-19900	-20150	21732	46879239	5091	23.43	4413309	9.41	2.4884	
-20350	-19850	-20100	21632	46879339	4941	22.84	4413459	9.41	2.4262	
-20300	-19800	-20050	21532	46879439	4791	22.25	4413609	9.41	2.3634	
-20250	-19750	-20000	21568	46879403	4820	22.35	4413580	9.41	2.3737	
-20200	-19700	-19950	21668	46879303	4907	22.65	4413493	9.41	2.4054	
-20150	-19650	-19900	21768	46879203	4987	22.91	4413413	9.41	2.4335	
-20100	-19600	-19850	21868	46879103	5012	22.92	4413388	9.41	2.4345	
-20050	-19550	-19800	21968	46879003	5012	22.82	4413388	9.41	2.4234	
-20000	-19500	-19750	22000	46878971	4944	22.47	4413456	9.41	2.3870	
-19950	-19450	-19700	22000	46878971	4824	21.93	4413576	9.41	2.3290	
-19900	-19400	-19650	22000	46878971	4705	21.39	4413695	9.42	2.2715	
-19850	-19350	-19600	22000	46878971	4604	20.93	4413796	9.42	2.2227	
-19800	-19300	-19550	22000	46878971	4454	20.25	4413946	9.42	2.1502	
-19750	-19250	-19500	22000	46878971	4304	19.56	4414096	9.42	2.0777	
-19700	-19200	-19450	22000	46878971	4162	18.92	4414238	9.42	2.0091	
-19650	-19150	-19400	22000	46878971	4062	18.46	4414338	9.42	1.9608	
-19600	-19100	-19350	22000	46878971	3987	18.12	4414413	9.42	1.9245	
-19550	-19050	-19300	22000	46878971	3937	17.90	4414463	9.42	1.9004	
-19500	-19000	-19250	22000	46878971	3887	17.67	4414513	9.42	1.8762	
-19450	-18950	-19200	22000	46878971	3862	17.55	4414538	9.42	1.8642	
-19400	-18900	-19150	22000	46878971	3912	17.78	4414488	9.42	1.8883	
-19350	-18850	-19100	22000	46878971	3963	18.01	4414437	9.42	1.9130	
-19300	-18800	-19050	22000	46878971	4063	18.47	4414337	9.42	1.9613	
-19250	-18750	-19000	22000	46878971	4163	18.92	4414237	9.42	2.0096	
-19200	-18700	-18950	22000	46878971	4255	19.34	4414145	9.42	2.0540	
-19150	-18650	-18900	22000	46878971	4305	19.57	4414095	9.42	2.0782	
-19100	-18600	-18850	22000	46878971	4347	19.76	4414053	9.42	2.0985	
-19050	-18550	-18800	22000	46878971	4382	19.92	4414018	9.42	2.1154	
-19000	-18500	-18750	22000	46878971	4432	20.15	4413968	9.42	2.1396	
-18950	-18450	-18700	22000	46878971	4477	20.35	4413923	9.42	2.1613	
-18900	-18400	-18650	22000	46878971	4489	20.40	4413911	9.42	2.1671	
-18850	-18350	-18600	22000	46878971	4539	20.63	4413861	9.42	2.1913	
-18800	-18300	-18550	22000	46878971	4540	20.64	4413860	9.42	2.1918	
-18750	-18250	-18500	22000	46878971	4491	20.41	4413909	9.42	2.1681	
-18700	-18200	-18450	22000	46878971	4441	20.19	4413959	9.42	2.1439	
-18650	-18150	-18400	22000	46878971	4391	19.96	4414009	9.42	2.1198	
-18600	-18100	-18350	22000	46878971	4349	19.77	4414051	9.42	2.0995	
-18550	-18050	-18300	22000	46878971	4314	19.61	4414086	9.42	2.0825	
-18500	-18000	-18250	22000	46878971	4272	19.42	4414128	9.42	2.0623	
-18450	-17950	-18200	22000	46878971	4272	19.42	4414128	9.42	2.0623	
-18400	-17900	-18150	22000	46878971	4260	19.36	4414140	9.42	2.0565	
-18350	-17850	-18100	22000	46878971	4210	19.14	4414190	9.42	2.0323	
-18300	-17800	-18050	22000	46878971	4209	19.13	4414191	9.42	2.0318	
-18250	-17750	-18000	22000	46878971	4280	19.45	4414120	9.42	2.0661	
-18200	-17700	-17950	22000	46878971	4380	19.91	4414020	9.42	2.1144	
-18150	-17650	-17900	22000	46878971	4480	20.36	4413920	9.42	2.1628	
-18100	-17600	-17850	22000	46878971	4575	20.80	4413825	9.42	2.2087	
-18050	-17550	-17800	22000	46878971	4674	21.25	4413726	9.42	2.2565	
-18000	-17500	-17750	22000	46878971	4797	21.80	4413603	9.41	2.3160	
-17950	-17450	-17700	22000	46878971	4897	22.26	4413503	9.41	2.3643	
-17900	-17400	-17650	22000	46878971	4997	22.71	4413403	9.41	2.4126	
-17850	-17350	-17600	22000	46878971	5085	23.11	4413315	9.41	2.4552	
-17800	-17300	-17550	22000	46878971	5135	23.34	4413265	9.41	2.4793	
-17750	-17250	-17500	22000	46878971	5163	23.47	4413237	9.41	2.4929	
-17700	-17200	-17450	22000	46878971	5163	23.47	4413237	9.41	2.4929	
-17650	-17150	-17400	22000	46878971	5163	23.47	4413237	9.41	2.4929	
-17600	-17100	-17350	22000	46878971	5168	23.49	4413232	9.41	2.4953	
-17550	-17050	-17300	22000	46878971	5169	23.50	4413231	9.41	2.4958	
-17500	-17000	-17250	22000	46878971	5138	23.35	4413262	9.41	2.4808	
-17450	-16950	-17200	22000	46878971	5088	23.13	4413312	9.41	2.4566	
-17400	-16900	-17150	22000	46878971	5038	22.90	4413362	9.41	2.4325	
-17350	-16850	-17100	22000	46878971	5000	22.73	4413400	9.41	2.4141	
-17300	-16800	-17050	22000	46878971	5000	22.73	4413400	9.41	2.4141	
-17250	-16750	-17000	22000	46878971	5000	22.73	4413400	9.41	2.4141	
-17200	-16700	-16950	22000	46878971	5000	22.73	4413400	9.41	2.4141	
-17150	-16650	-16900	22000	46878971	5000	22.73	4413400	9.41	2.4141	
-17100	-16600	-16850	22000	46878971	4969	22.59	4413431	9.41	2.3991	
-17050	-16550	-16800	22000	46878971	4919	22.36	4413481	9.41	2.3749	
-17000	-16500	-16750	22000	46878971	4869	22.13	4413531	9.41	2.3508	
-16950	-16450	-16700	22000	46878971	4819	21.90	4413581	9.41	2.3266	
-16900	-16400	-16650	22000	46878971	4762	21.65	4413638	9.41	2.2990	
-16850	-16350	-16600	22000	46878971	4662	21.19	4413738	9.42	2.2507	
-16800	-16300	-16550	22000	46878971	4611	20.96	4413789	9.42	2.2261	
-16750	-16250	-16500	22000	46878971	4539	20.63	4413861	9.42	2.1913	
-16700	-16200	-16450	22000	46878971	4439	20.18	4413961	9.42	2.1430	
-16650	-16150	-16400	22000	46878971	4339	19.72	4414061	9.42	2.0946	
-16600	-16100	-16350	22000	46878971	4270	19.41	4414130	9.42	2.0613	
-16550	-16050	-16300	22000	46878971	4220	19.18	4414180	9.42	2.0371	
-16500	-16000	-16250	22000	46878971	4170	18.95	4414230	9.42	2.0130	
-16450	-15950	-16200	22000	46878971	4120	18.73	4414280	9.42	1.9888	
-16400	-15900	-16150	22000	46878971	4077	18.53	4414323	9.42	1.9680	
-16350	-15850	-16100	22000	46878971	4077	18.53	4414323	9.42	1.9680	
-16300	-15800	-16050	22000	46878971	4028	18.31	4414372	9.42	1.9444	
-16250	-15750	-16000	22000	46878971	4001	18.19	4414399	9.42	1.9313	
-16200	-15700	-15950	22000	46878971	4051	18.41	4414349	9.42	1.9555	
-16150	-15650	-15900	22000	46878971	4101	18.64	4414299	9.42	1.9796	
-16100	-15600	-15850	22000	46878971	4102	18.65	4414298	9.42	1.9801	
-16050	-15550	-15800	22000	46878971	4102	18.65	4414298	9.42	1.9801	
-16000	-15500	-15750	22000	46878971	4139	18.81	4414261	9.42	1.9980	
-15950	-15450	-15700	22000	46878971	4189	19.04	4414211	9.42	2.0221	
-15900	-15400	-15650	22000	46878971	4254	19.34	4414146	9.42	2.0536	
-15850	-15350	-15600	22000	46878971	4354	19.79	4414046	9.42	2.1019	
-15800	-15300	-15550	22000	46878971	4454	20.25	4413946	9.42	2.1502	
-15750	-15250	-15500	22000	46878971	4584	20.84	4413816	9.42	2.2130	
-15700	-15200	-15450	22000	46878971	4684	21.29	4413716	9.42	2.2614	
-15650	-15150	-15400	22000	46878971	4784	21.75	4413616	9.41	2.3097	
-15600	-15100	-15350	22000	46878971	4884	22.20	4413516	9.41	2.3580	
-15550	-15050	-15300	22000	46878971	5027	22.85	4413373	9.41	2.4271	
-15500	-15000	-15250	22000	46878971	5140	23.36	4413260	9.41	2.4818	
-15450	-14950	-15200	22000	46878971	5240	23.82	4413160	9.41	2.5301	
-15400	-14900	-15150	22000	46878971	5325	24.20	4413075	9.41	2.5712	
-15350	-14850	-15100	22000	46878971	5375	24.43	4413025	9.41	2.5954	
-15300	-14800	-15050	22000	46878971	5390	24.50	4413010	9.41	2.6026	
-15250	-14750	-15000	22000	46878971	5311	24.14	4413089	9.41	2.5644	
-15200	-14700	-14950	22000	46878971	5254	23.88	4413146	9.41	2.5369	
-15150	-14650	-14900	22000	46878971	5173	23.51	4413227	9.41	2.4977	
-15100	-14600	-14850	22000	46878971	5122	23.28	4413278	9.41	2.4731	
-15050	-14550	-14800	22000	46878971	5029	22.86	4413371	9.41	2.4281	
-15000	-14500	-14750	22000	46878971	4929	22.40	4413471	9.41	2.3798	
-14950	-14450	-14700	22000	46878971	4829	21.95	4413571	9.41	2.3314	
-14900	-14400	-14650	22000	46878971	4686	21.30	4413714	9.42	2.2623	
-14850	-14350	-14600	22000	46878971	4536	20.62	4413864	9.42	2.1898	
-14800	-14300	-14550	22000	46878971	4421	20.10	4413979	9.42	2.1343	
-14750	-14250	-14500	22000	46878971	4369	19.86	4414031	9.42	2.1091	
-14700	-14200	-14450	22000	46878971	4276	19.44	4414124	9.42	2.0642	
-14650	-14150	-14400	22000	46878971	4304	19.56	4414096	9.42	2.0777	
-14600	-14100	-14350	22000	46878971	4353	19.79	4414047	9.42	2.1014	
-14550	-14050	-14300	22000	46878971	4353	19.79	4414047	9.42	2.1014	
-14500	-14000	-14250	22000	46878971	4353	19.79	4414047	9.42	2.1014	
-14450	-13950	-14200	22000	46878971	4353	19.79	4414047	9.42	2.1014	
-14400	-13900	-14150	22000	46878971	4396	19.98	4414004	9.42	2.1222	
-14350	-13850	-14100	22000	46878971	4446	20.21	4413954	9.42	2.1463	
-14300	-13800	-14050	22000	46878971	4496	20.44	4413904	9.42	2.1705	
-14250	-13750	-14000	22000	46878971	4573	20.79	4413827	9.42	2.2077	
-14200	-13700	-13950	22000	46878971	4673	21.24	4413727	9.42	2.2560	
-14150	-13650	-13900	22000	46878971	4676	21.25	4413724	9.42	2.2575	
