Start	End	Midpoint	Breakpoint_bp	Non_breakpoint_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Ratio
-25000	-23000	-24000	92000	46808027	10184	11.07	3120316	6.67	1.6606	
-24800	-22800	-23800	92000	46808027	9384	10.20	3121116	6.67	1.5297	
-24600	-22600	-23600	92000	46808027	8549	9.29	3121951	6.67	1.3932	
-24400	-22400	-23400	92000	46808027	7804	8.48	3122696	6.67	1.2715	
-24200	-22200	-23200	92000	46808027	6986	7.59	3123514	6.67	1.1379	
-24000	-22000	-23000	92000	46808027	6227	6.77	3124273	6.67	1.0141	
-23800	-21800	-22800	92000	46808027	5627	6.12	3124873	6.68	0.9162	
-23600	-21600	-22600	92000	46808027	4872	5.30	3125628	6.68	0.7931	
-23400	-21400	-22400	92000	46808027	4479	4.87	3126021	6.68	0.7290	
-23200	-21200	-22200	92000	46808027	4799	5.22	3125701	6.68	0.7812	
-23000	-21000	-22000	92000	46808027	5311	5.77	3125189	6.68	0.8646	
-22800	-20800	-21800	92000	46808027	6054	6.58	3124446	6.68	0.9858	
-22600	-20600	-21600	92000	46808027	7001	7.61	3123499	6.67	1.1404	
-22400	-20400	-21400	92000	46808027	7601	8.26	3122899	6.67	1.2384	
-22200	-20200	-21200	92000	46808027	8300	9.02	3122200	6.67	1.3525	
-22000	-20000	-21000	91932	46808095	9100	9.90	3121400	6.67	1.4844	
-21800	-19800	-20800	91532	46808495	9900	10.82	3120600	6.67	1.6224	
-21600	-19600	-20600	91132	46808895	10339	11.35	3120161	6.67	1.7020	
-21400	-19400	-20400	90732	46809295	10666	11.76	3119834	6.66	1.7638	
-21200	-19200	-20200	90332	46809695	10666	11.81	3119834	6.66	1.7716	
-21000	-19000	-20000	90068	46809959	10411	11.56	3120089	6.67	1.7342	
-20800	-18800	-19800	90468	46809559	9980	11.03	3120520	6.67	1.6548	
-20600	-18600	-19600	90868	46809159	9423	10.37	3121077	6.67	1.5553	
-20400	-18400	-19400	91268	46808759	9260	10.15	3121240	6.67	1.5216	
-20200	-18200	-19200	91668	46808359	9614	10.49	3120886	6.67	1.5730	
-20000	-18000	-19000	92000	46808027	10014	10.88	3120486	6.67	1.6327	
-19800	-17800	-18800	92000	46808027	10413	11.32	3120087	6.67	1.6980	
-19600	-17600	-18600	92000	46808027	10862	11.81	3119638	6.66	1.7715	
-19400	-17400	-18400	92000	46808027	11080	12.04	3119420	6.66	1.8072	
-19200	-17200	-18200	92000	46808027	11257	12.24	3119243	6.66	1.8361	
-19000	-17000	-18000	92000	46808027	11475	12.47	3119025	6.66	1.8718	
-18800	-16800	-17800	92000	46808027	11563	12.57	3118937	6.66	1.8862	
-18600	-16600	-17600	92000	46808027	11538	12.54	3118962	6.66	1.8821	
-18400	-16400	-17400	92000	46808027	11224	12.20	3119276	6.66	1.8307	
-18200	-16200	-17200	92000	46808027	10289	11.18	3120211	6.67	1.6777	
-18000	-16000	-17000	92000	46808027	9489	10.31	3121011	6.67	1.5469	
-17800	-15800	-16800	92000	46808027	8690	9.45	3121810	6.67	1.4163	
-17600	-15600	-16600	92000	46808027	8103	8.81	3122397	6.67	1.3204	
-17400	-15400	-16400	92000	46808027	7695	8.36	3122805	6.67	1.2537	
-17200	-15200	-16200	92000	46808027	7318	7.95	3123182	6.67	1.1921	
-17000	-15000	-16000	92000	46808027	7043	7.66	3123457	6.67	1.1472	
